Source,Program,Task_ID,Status,User_Name,Date_Time,Task_Name,Improvement_Type,GAIN,User_Review
excel_import,MARLIN BP,MBP-1852,,,2025-11-20,Removal of Offset Search & Channel Training Reads,TTR,??,
excel_import,MARLIN BP,MBP-1916,,DC,2025-11-20,WP Optimization,TTR,??,
excel_import,MARLIN BP,MBP-1926,,,2025-11-20,Optimize get ta rec for TA access and audit lookup,TTR,0.4??,
excel_import,MARLIN BP,,Released WW2619,,2025-11-20,4.17) PCO 5.1.0 (mat'l 12),TTR,,
excel_import,MARLIN BP,MBP-1774,,,2025-11-20,Add DRAM screen while soaking test,TTR,??,
excel_import,MARLIN BP,,,,2025-11-20,4.18) Pending Activity,TTR,,
excel_import,MARLIN BP,MBP-1792,,Servo DC,2025-11-20,MarlinBP remove state (est. 43 hrs) ??,TTR,0,
excel_import,MARLIN BP,MBP-1856,,,2025-11-20,T451 Derived Opti: Update Anchor zone behavior and set anchor zone mask,TTR,,
excel_import,MARLIN BP,MBP-1815,,,2025-11-20,FPW & SPFS Power Cycle Removal around LFA,TTR,1.5,
excel_import,MARLIN BP,"MBP-1884, MBP-1887",,Korat FW/DC TP/ARS,2025-11-20,FPW removal,TTR,45,
excel_import,MARLIN BP,Need Jira,,,2025-11-20,POML all mode for SMR,TTR,,
excel_import,MARLIN BP,MBP-1731,,,2025-11-20,Scopy TA Scan Feed Forward,TTR,12,
excel_import,MARLIN BP,,,,2025-11-20,4.19) Study Activity,TTR,,
excel_import,MARLIN BP,,,Korat FW,2025-11-20,T299 RAP Saving (4),TTR,4,
excel_import,MARLIN BP,MBP-1705,,DC,2025-11-20,"Project to remove UACT1 ""milli"" actuator",TTR,2,
excel_import,MARLIN BP,Need Jira,,Korat,2025-11-20,T285 DRCM opti  (MarlinCT-1948),TTR,1,
excel_import,MARLIN BP,Need Jira,,,2025-11-20,WP opti Prediction,TTR,4,
excel_import,MARLIN BP,Need Jira,,Korat FW/Servo DC,2025-11-20,XBAR   (MarlinCT-576),TTR,8,
excel_import,MARLIN BP,Need Jira,,Korat FW/ARS DC,2025-11-20,VBAR ATI predict	 ?(Summit-1179)?		,TTR,0.5,
excel_import,MARLIN BP,Need Jira,,,2025-11-20,Remove PWT opti,TTR,9.5,
excel_import,MARLIN BP,Need Jira,High risk review with ARS,,2025-11-20,VBAR Laser Predition,TTR,9,
excel_import,MARLIN BP,MBP-,,,2025-11-20,Skip track certify CMR (can we pull in 1 qtr)/ (MarlinCT-1980),TTR,20,
excel_import,MARLIN BP,MBP-1730,,,2025-11-20,SMR Format removal (SMR only),TTR,25??,
excel_import,MARLIN BP,,,Korat FW,2025-11-20,Write/Read xfer,TTR,2,
excel_import,MARLIN BP,MBP-1909,,Korat FW/ARS DC,2025-11-20,T55 with independent ZAP track (can we pull in?,TTR,10,
excel_import,MARLIN BP,need jira,,Servo DC,2025-11-20,Z-path (5hrs?) (can it pull in before Q3? - Mingzhong,TTR,5??,
excel_import,MARLIN BP,,,Korat FW,2025-11-20,Chrome step size,TTR,0.8,
excel_import,MARLIN BP,,,Korat FW,2025-11-20,T438 param update,TTR,0.5/call,
excel_import,MARLIN BP,,,SSDC TP,2025-11-20,"PWT TTR & optimization: DNLD_CODE, enableDiags, Powercycle",TTR,0.9,
excel_import,MARLIN BP,MBP-1931,,,2025-11-20,10k RPM eval at SPIN OPER (Soak Time reduction eval),TTR,,
excel_import,MARLIN BP,,,,2025-11-20,4.20) Hold item,TTR,,
excel_import,MARLIN BP,MBP-1488,,,2025-11-20,T451 Random Pattern Generation 5% TTR (when?),TTR,0,
excel_import,MARLIN BP,"MBP-1501, 1759, 1760",,,2025-11-20,3rev to 2rev ZAP 30TBLV Meta (30 hrs but won't intersect in time for Meta),TTR,0,
excel_import,MARLIN BP,,,,2025-11-20,3rev to 2rev ZAP (SMR) (30 hrs needs customer and ADC for 9H),TTR,30,
excel_import,MARLIN BP,,,,2025-11-20,1Rev ZAP (90hrs) - Hold,TTR,90,
excel_import,MARLIN BP,MBP-1405,,,2025-11-20,FNC2 T150 Linearization monitor (1.2) (1hr?),TTR,0,
excel_import,MARLIN BP,Need Jira,,DC,2025-11-20,Optimize FPW by Bank write Phase2 (cosider in Marlin rmv state) - (FPW removal instead),TTR,0,
excel_import,MARLIN BP,,,,2025-11-20,4.12) PCO TTR Q2FY27,TTR,0,
excel_import,MARLIN BP,MBP-1013,,PCO 4.2.1,2025-11-20,NDS in parallel with soak (anneal) (9H heads only),TTR,,
excel_import,MARLIN BP,,,,2025-11-20,Adjust baseline,TTR,10,
excel_import,MARLIN BP,,,,2025-11-20,Total MQM TTR saving,TTR,,
excel_import,MARLIN BP,,,,2025-11-20,Total Soak TTR,TTR,,
excel_import,MARLIN BP,,,,2025-11-20,Total  CERT TTR,TTR,,
excel_import,MARLIN BP,,,,2025-11-20,Gap to FROST (all risks),TTR,,
excel_import,MARLIN BP,,,,2025-11-20,Gap to POR 3.0 (all risks),TTR,,
excel_import,MARLIN BP,,,,2025-11-20,*Note : This is Gemini test time. If load on Nimbus since SCOPY since item 3.2) we can get more TTR 9 hr..,TTR,,
excel_import,MARLIN BP,MBP-1403,,,2025-11-20,PRE2 GMR_RES_2x monitor (0.2),TTR,,
excel_import,MARLIN BP,,,Korat FW/ARS DC,2025-11-20,T299 reduce num write,TTR,1,
excel_import,MARLIN BP,,,Korat FW,2025-11-20,uJog Goby,TTR,3.5,
excel_import,MARLIN BP,MBP-1236,,DC,2025-11-20,T461 AC Erase Support,TTR,0,
excel_import,MARLIN BP,,,,2025-11-20,4.5/4.6) PCO 4.2.8/PCO 4.2.9,TTR,,
excel_import,MARLIN BP,MBP-1307,1.5,Korat FW / PE,2025-11-20,Reduce drive off time,TTR,,
excel_import,MARLIN BP,MBP-1199,2,Korat FW,2025-11-20,Update BPI/TPI FMT via PC file,TTR,,
excel_import,MARLIN BP,,,,2025-11-20,4.7) PCO 5.0.0,TTR,,
excel_import,MARLIN BP,MBP-1224,1.2,DC TP/ARS,2025-11-20,T299: Disable Track Center Search,TTR,,
excel_import,MARLIN BP,MBP-1353,,DC,2025-11-20,Write Process Restructuring: Fix to VBAR Laser Setup,TTR,,
excel_import,MARLIN BP,https://jira.seagate.com/jira/browse/MARLINCT-1799,1,,2025-11-20,Reduce t461 to odd/even zones and reduce the number of reads per write,TTR,,
excel_import,MARLIN BP,https://jira.seagate.com/jira/browse/MARLINCT-1800,2.5,,2025-11-20,TTR: Reduce T33 zone test,TTR,,
excel_import,MARLIN BP,https://jira.seagate.com/jira/browse/MARLINCT-1807,3,,2025-11-20,"TTR: Write/Read Xfer Test Zn reduce (0,2,104)",TTR,,
excel_import,MARLIN,MARLINCT-1797,"PCO7.1.11F, Implemented",DC HW,2025-11-20,          1) COBRA op 6-11% push (see actual TT look like) (ZAP) - [L] [CAL2],TTR,0.0,
excel_import,MARLIN,MARLINCT-1803,"PCO7.1.11F, Implemented",DC HW,2025-11-20,"          2) DPCO logic flow update under state parameter applyMaxDpcoWriteClr. - [L] [CAL, CAL2]",TTR,0.5,
excel_import,MARLIN,MARLINCT-1797,"PCO7.1.11F, Implemented",DC HW,2025-11-20,          3) VBAR_SME_LSR (COBRA) - [CAL2],TTR,1.5,
excel_import,MARLIN,,,,2025-11-20,     4.12) PCO7.1.11K/Q - 16.9hrs,TTR,0.0,
excel_import,MARLIN,MARLINCT-1800,"PCO7.1.11K, Implemented",DC HW,2025-11-20,          1) Revisit T33 call - reduce qty & Sampling revs - [L] [PRE2-FNC2],TTR,2.5,
excel_import,MARLIN,MARLINCT-1798,"PCO7.1.11K, Implemented",DC HW,2025-11-20,"          2)TTR: PCBA_SCRN_T102 Optimization - [L] [PRE2, CRT2, PWT]",TTR,1.0,
excel_import,MARLIN,MARLINCT-1742,"PCO7.1.11K, Implemented",Ops Eng,2025-11-20,          3) Update BPI/TPI FMT viz PC file on HSMR - [L] [CAL2],TTR,2.0,
excel_import,MARLIN,MARLINCT-1807,"PCO7.1.11K, Implemented",Ops Eng,2025-11-20,          4) W/R Xfer Sampling Test - [L][FIN2],TTR,3.0,
excel_import,MARLIN,MARLINCT-1809,"PCO7.1.11K, Implemented",Ops Eng,2025-11-20,          5) FIN2 HAMR file 100 polling optimization - [L][FIN2],TTR,1.0,
excel_import,MARLIN,MARLINCT-1815,"PCO7.1.11K, Implemented",Ops Eng,2025-11-20,          6) Download code process optimization or temp lock - [FIN2],TTR,0.4,
excel_import,MARLIN,MARLINCT-1828,"PCO7.1.11K, Implemented",DC HW,2025-11-20,          7) SF3_DPCO_CAL2 removal - [L][CAL2],TTR,6.0,
excel_import,MARLIN,MARLINCT-1821,"PCO7.1.11K, Implemented",DC HW,2025-11-20,          8) Write Opti - Read Reduction: 2 reads to 1 - [L][CAL2],TTR,,
excel_import,MARLIN,,,,2025-11-20,     4.13) PCO7.2.04F - 50.6 hrs.,TTR,,
excel_import,MARLIN,MARLINCT-1799,"PCO7.2.04F, Implemented",DC HW,2025-11-20,          1) T461reduction / T461 during ZAP (do only even or odd zone) - [L] [PRE2-PWT],TTR,2.6,
excel_import,MARLIN,MARLINCT-1859,"PCO7.2.04F, Implemented",DC HW,2025-11-20,          2) TTR: Remove PRE2 prm_282_hiResVCMBodeTemp. - [L][PRE2],TTR,,
excel_import,MARLIN,MARLINCT-1864,"PCO7.2.04F, Implemented",DC HW,2025-11-20,          3) ASSCI diag removal for TTR - [FIN2],TTR,,
excel_import,MARLIN,MARLINCT-1865,"PCO7.2.04F, Implemented",,2025-11-20,"          4) TTR: PCBA_SCRN_T102 Optimization #2 - [PRE2,CRT2,PWT]",TTR,,
excel_import,MARLIN,MARLINCT-1757,"PCO7.2.04F, Implemented",,2025-11-20,          5) T299: Disable Track Center Search - [PRE2-PWT],TTR,,
excel_import,MARLIN,"MARLINCT-365
MARLINCT-1805","PCO7.2.04F, Implemented",DC HW,2025-11-20,          6) HSMR write pass rml (PWT intercept) - [PWT],TTR,45.0,
excel_import,MARLIN,,,,2025-11-20,     4.14) PCO7.2.06D base - 60 hrs.,TTR,0.0,
excel_import,MARLIN,"MARLINCT-1784
MARLINCT-1643
MARLINCT-1763","cut-in 100%
 in FW2605 (6-Aug-25)",DC HW/DC TP,2025-11-20,"           1) PROZ phase #1 (H-CMR mode) - [FNC2] - phase in 60%, 100% by month",TTR,,
excel_import,MARLIN,,,,2025-11-20,            2) PROZ Hd8-11 opti,TTR,,
excel_import,MARLIN,,Implemented FW2604,,2025-11-20,     4.15) PCO7.2.06D -  14.2 hrs. ,TTR,,
excel_import,MARLIN,MARLINCT-1853,,,2025-11-20,          1) T47 change to accommodate SCOPY TTR change. [SCOPY],TTR,,
excel_import,MARLIN,MARLINCT-1861,,DC HW,2025-11-20,"          2) Marlin - T33 calls - Reduce Rev - [L][PRE2,FNC2]",TTR,,
excel_import,MARLIN,MARLINCT-1889,,,2025-11-20,          3) TTR opportunity of using DTS commmand - [L][FIN2],TTR,,
excel_import,MARLIN,MARLINCT-1911,,,2025-11-20,          4) Small TTR- baud verification - [L][FIN2],TTR,,
excel_import,MARLIN,MARLINCT-1857,,DC HW,2025-11-20,"          5) C0 sensitivity scoring from multi-rate to single-rate: - [PRE2, CAL]",TTR,,
excel_import,MARLIN,MARLINCT-1879,,,2025-11-20,          6) T451 Random Pattern Generation 5% TTR - [CAL2],TTR,,
excel_import,MARLIN,,"Implemented, WW11",,2025-11-20,     4.16) PCO7.2.09F2/F3 - 19 hrs. - Implemented WW11,TTR,,
excel_import,MARLIN,MARLINCT-1958,,,2025-11-20,"       1) TTR: T282 reduce ""idle time"" - [PRE2, CAL]",TTR,,
excel_import,MARLIN,MARLINCT-1984,,,2025-11-20,"       2) Project to remove UACT1 ""milli"" actuator Bode",TTR,,
excel_import,MARLIN,MARLINCT-2012,,,2025-11-20,       3) T282 – Bode convergence check,TTR,,
excel_import,MARLIN,MARLINCT-2018,,,2025-11-20,"       4) Reducing the SkDly in t135 from 20ms to 0ms [PRE2,CAL,PWT]",TTR,,
excel_import,MARLIN,MARLINCT-1676,"In PCO7.207, need investigate",,2025-11-20,       5) TCG_PREP EC11087 improvment [FIN2],TTR,,
excel_import,MARLIN,,"Implemented, WW16",,2025-11-20,     4.17) PCO7.2.10E (include LBC servo) - 10.2 hrs - Implemented WW16,TTR,,
excel_import,MARLIN,MARLINCT-2008,Baseline PCO7.2.10 Intira CP WW21 Tue,,2025-11-20,       1) TTR: ZAP Seek Path Optimization ( PROZ/OCZ ) [EWC T275] - [FNC2],TTR,,
excel_import,MARLIN,MARLINCT-2100,,,2025-11-20,       2) LASER_INIT process optimize,TTR,,
excel_import,MARLIN,MARLINCT-1916,,,2025-11-20,       3) T2108 Read TTR by increasing CertTrkStep (SkInc) to 75 from default 30 [FNC2],TTR,,
excel_import,MARLIN,MARLINCT-2057,,,2025-11-20,"       4) EWC Radical malloc (15hrs) [CAL, CAL2,FNC2] (New)",TTR,12.0,
excel_import,MARLIN,,,,2025-11-20,       5) TTI - TPI push 2% [Plan implement ww15],TTR,,
excel_import,MARLIN,MARLINCT-2018,,,2025-11-20,       6) Reducing the SkDly in t135 from 20ms to 0ms for AFH1_LOCD,TTR,,
excel_import,MARLIN,MARLINCT-1901,,,2025-11-20,       7) PC compression(Save state)- about 7 hrs,TTR,,
excel_import,MARLIN,MARLINCT-1754,,,2025-11-20,       8) STFL Enable for SMR only ,TTR,,
excel_import,MARLIN,,"released ww17, CP WW20",,11/18/2025,"     4.18) PCO7.2.11 / PCO7.3.03 - Must be implement ww20 (LZR oper, L7)",TTR,,
excel_import,MARLIN,MARLINCT-2131 ,,,2025-11-20,       1) DRAM test during soak test,TTR,,
excel_import,MARLIN,MARLINCT-2143,,,2025-11-20,       2) Remove extra t461 BER measurements around ZA,TTR,,
excel_import,MARLIN,MARLINCT-2159,,,2025-11-20,       3) Sample PSV_SCOPY_QUALITY state in PRE2.,TTR,,
excel_import,MARLIN,MARLINCT-1948,In PCO7.3.01 onward,,2025-11-20,"       4) T285 DRCM optimize servo sector step iteration. [PRE2,PWT]",TTR,,
excel_import,MARLIN,MARLINCT-1868,Remove in7.3.03B WW20 Fri,Ops Eng,2025-11-20,       5) Reduce redundance VBAR ATI - [L][CAL2],TTR,0.0,
excel_import,MARLIN,,,,11/18/2025,       6) L7 test time increse from re-structuring,TTR,,
excel_import,MARLIN,MARLINCT-2210,Already in PCO7.3.03,,11/18/2025,"        7) WPOPTI: Pickup of SF3 TTR, and PF3 TTR   (2.5+1 hrs)",TTR,,
excel_import,MARLIN,,,,11/18/2025,     4.19) PCO7.2.12 / PCO7.3.04 -  55 hrs - ,TTR,,
excel_import,MARLIN,MARLINCT-1704,"Pending RGA, CP21 PE",,2025-11-20,       1) FPW CAL2 removal (45hrs) - (Can enable by CMS),TTR,,
excel_import,MARLIN,MARLINCT-1913,TA FF satus Koy WW21 plan cut-in ww25,DC HW,2025-11-20,      2) TA scan feed forward - [H][SCOPY],TTR,0.0,
excel_import,MARLIN,MARLINCT-2217,,,2025-11-20,       3) Active Servo Flaw Table (ASFT) build algorithm change,TTR,,
excel_import,MARLIN,MARLINCT-2122,Follow up with Petcharat/DC,,2025-11-20,       1) BER collection removal/reduce t25 rev/RRO screen removal,TTR,,
excel_import,MARLIN,Need Jira,"Global / SSDC, reviwoing ",,2025-11-20,       1) Leverage items from Summit,TTR,0.0,
excel_import,MARLIN,MARLINCT-2200,M follow up with SSDC CP WW21,,2025-11-20,       2) Opti settling bypass BIE,TTR,,
excel_import,MARLIN,MARLINCT-2201,,,2025-11-20,       3) Increase Opti LC_Delay step size from 2 to 4,TTR,,
excel_import,MARLIN,MARLINCT-2202,,,2025-11-20,       4) apply Increase Opti LC_Delay step size from 2 to 4 to all opti calls,TTR,,
excel_import,MARLIN,,,,2025-11-20,     4.21) PCO TBD - Plan relase,TTR,,
excel_import,MARLIN,MARLINCT-2122,Pending DC review,,2025-11-20,       1) Marlin TTR remove state (Estimate 39hrs),TTR,,
excel_import,MARLIN,MARLINCT-1867,Task checkout,Ops Eng,2025-11-20,       2) VBAR ATI prediction ML - [L][CAL2] - ? hr - require TVM separate,TTR,0.0,
excel_import,MARLIN,MARLINCT-1820,Study by Korat,Ops Eng,2025-11-20,       3) VBAR lacer PRE2 predict ML phase 1 - [H][PRE2] - 1hr,TTR,0.0,
excel_import,MARLIN,,Include in PCO7.2.10A Start DASL? CP WW20,DC HW/DC TP,2025-11-20,1) PROZ phase #2 (H-SMR mode) - [FNC2],TTR,0.0,
excel_import,MARLIN,MARLINCT-1846,Include in PCO7.2.10A,Ops Eng,2025-11-20,2) Optimize sorting time  (H-SMR mode) -  [L] [FNC2],TTR,0.0,
excel_import,MARLIN,MARLINCT-2117,Pending code release (15Aug),Ops Eng,2025-11-20,"3) ZAP 1-rev [FNC2][H] (maximum 60hr, projected 30 )- not allow",TTR,0.0,
excel_import,MARLIN,MARLINCT-2157,develop,,2025-11-20,        4) VBAR_WP OPTI write by conds [CAL2] [M](projected 4),TTR,,
excel_import,MARLIN,,,,2025-11-20,     4.22) PCO TBD,TTR,,
excel_import,MARLIN,"TSR-6211
MARLINCT-2252","Require TIST 30x, TVM60
Control / TTR, reserve slot ww?",,2025-11-20,        1) SMR POML  (12 hrs),TTR,,
excel_import,MARLIN,MARLINCT-2226,,,2025-11-20,        2) SF3 reloadRAP eval,TTR,,
excel_import,MARLIN,1905,,DC HW,2025-11-20,       1) Soak Removal - [H][SPIN] [plan complere ww32] (120 hr),TTR,0.0,
excel_import,MARLIN,"TSR-4468
MARLINCT-1749",Developing by US & Korat,DC TP/Op Eng,2025-11-20,        2) Bank write Phase1 -  FPW b4VBAR optimize by T463 (Bank Write) - [H][CAL2],TTR,0.0,
excel_import,MARLIN,Need Jira,Develop by DC,,2025-11-20,       3) Bank Write Phase2 (4Hd),TTR,0.0,
excel_import,MARLIN,,,,2025-11-20,Parallel analysis,TTR,,
excel_import,MARLIN,,,,2025-11-20,     4.20) PCO TBD,TTR,0.0,
excel_import,MARLIN,TBD,Evaluation,Ops Eng/DC HW,2025-11-20,        1) MQM removal 100%,TTR,0.0,
excel_import,MARLIN,DISC-13649,Task checkout,Ops Eng,2025-11-20,       1) Remove duplicate T461 (CAL_BER) - [L][PRE2-PWT],TTR,0.0,
excel_import,MARLIN,,,,2025-11-20,     4.21) PCO TBD,TTR,0.0,
excel_import,MARLIN,TBD,Study by Korat,Ops Eng,2025-11-20,       2) ZAP ML - [H][FNC2],TTR,0.0,
excel_import,MARLIN,MARLINCT-2018,,,2025-11-20,         3) Reducing the SkDly in t135 for 4hr TTR,TTR,,
excel_import,MARLIN,"TSR-4851
MARLINCT-1890",SF3 developing,DC HW,2025-11-20,       4) Nimbus Split Temp (No wait Time) - Already in PCO7.2.05,TTR,0.0,
excel_import,MARLIN,,,,2025-11-20,     4.18) PCO TBD1,TTR,0.0,
excel_import,MARLIN,,Study by Korat,Ops Eng,2025-11-20,       6) WP opti - ML phase 1 - [H][CAL],TTR,0.0,
excel_import,MARLIN,,,,2025-11-20,     4.19) PCO TBD2,TTR,0.0,
excel_import,MARLIN,,Study by Korat,Ops Eng,2025-11-20,      1) VBAR laser prediction phase 2 - [H][PRE2],TTR,0.0,
excel_import,MARLIN,,Study by Korat,Ops Eng,2025-11-20,      2) Write power prediction phase 2 - [H][CAL2],TTR,0.0,
excel_import,MARLIN,,,,2025-11-20,     4.20) PCO TBD3,TTR,0.0,
excel_import,MARLIN,,Study by Korat,Ops Eng,2025-11-20,      1) ZAP 1-Rev Center - [H] [FNC2],TTR,0.0,
excel_import,MARLIN,MARLINCT-1833,Study by Korat,Ops Eng,2025-11-20,      2) Weld After Assembly - [H][PWT],TTR,0.0,
excel_import,MARLIN,MARLINCT-1782,Study by DC,DC HW,2025-11-20,      3) FMT certify by condition - [H][FIN2],TTR,0.0,
excel_import,MARLIN,1908,Follow up status by CJ,DC HW,2025-11-20,      5) T418 refractoring - [PRE2],TTR,0.0,
excel_import,MARLIN,,Study by DC,DC HW,2025-11-20,"      6) Review data collection rml or by condition based on threshold ( T461, MDW Screen)",TTR,0.0,
excel_import,MARLIN,,Study by DC,DC HW,2025-11-20,      7) Some more optimizations,TTR,0.0,
excel_import,MARLIN,,CP WW37,DC HW,2025-11-20,      8) Revisit every wedge count to see opportunities,TTR,0.0,
excel_import,MARLIN,1906,Study by DC,DC HW,2025-11-20,      9) DOS threshold reduce quantitis of zone as we see some more margin,TTR,0.0,
excel_import,MARLIN,,TBD,DC HW,2025-11-20,     10) Reduce # of T150 calls that were used for NS50 ,TTR,0.0,
excel_import,MARLIN,FWSD-6603,,DC-FW,2025-11-20,     11) Merge Master Format and SinglePassFlawScan (SPFS),TTR,0.0,
excel_import,MARLIN,,,,2025-11-20,Total TTR,TTR,254.456,
excel_import,MARLIN,,,,2025-11-20,Gap to FROST (all risks),TTR,,
excel_import,MARLIN,,,,2025-11-20,Gap to POR 3.0 (all risks),TTR,,
excel_import,MARLIN,,,,2025-11-20,*Note : This is Gemini test time. If load on Nimbus since SCOPY since item 3.2) we can get more TTR 9 hr..,TTR,,
excel_import,MARLIN,,,,2025-11-20,"POML SMR - 20H  : TIST SMR (30x), TVM (60x), sORT(250x no gating)",TTR,,
excel_import,MARLIN,,,,2025-11-20,Release checkout (4H) - ww16,TTR,,
excel_import,MARLIN,,,,2025-11-20,Start qaul - ww18,TTR,,
excel_import,SUMMIT,SUMMIT-1187,Done,RW LCO&Korat FW / RTE,2025-11-20,        POML OTF,TTR,,
excel_import,SUMMIT,SUMMIT-1200	,Done,RW LCO&Korat FW / PE&RTE,2025-11-20,        POML WW,TTR,,
excel_import,SUMMIT,SUMMIT-1376,Done,Korat FW / LCO SF3,2025-11-20,        T102 optimize,TTR,,
excel_import,SUMMIT,,Review opportunity,CT / PE,2025-11-20,Enable STFL 85% (pull in),TTR,,
excel_import,SUMMIT,,,,2025-11-20,     4.4) PCO - 3.5.0E (11hrs),TTR,,
excel_import,SUMMIT,SUMMIT-1132,Done,Servo SSDC / TCO PF3,2025-11-20,        ZAP Audit optimize (3.5.0C),TTR,,
excel_import,SUMMIT,SUMMIT-1188,Done,Korat FW / TCO PF3,2025-11-20,       T299 Reduce num wirte (3.5.0C),TTR,,
excel_import,SUMMIT,SUMMIT-1189,Done,Korat FW / LCO SF3,2025-11-20,        Power cycle optimize,TTR,,
excel_import,SUMMIT,SUMMIT-1450,Done,Korat FW/ SSDC,2025-11-20,T299 opti RAP saving ,TTR,,
excel_import,SUMMIT,,Done,-,2025-11-20,      4.5.1) Enable STFL( 3hrs),TTR,3,
excel_import,SUMMIT,,,,2025-11-20,      4.6) PCO 3.6.2A  - 18.5 hrs ,TTR,0,
excel_import,SUMMIT,SUMMIT-1430,Done,SG SW team,2025-11-20,T130 optimize,TTR,1.5,
excel_import,SUMMIT,SUMMIT-1481,Done,SSDC,2025-11-20,T297 optimize,TTR,4,
excel_import,SUMMIT,SUMMIT-1479,Done,Korat FW,2025-11-20,Opti HME compoment CAL2,TTR,1,
excel_import,SUMMIT,SUMMIT-1502,Done,SSDC,2025-11-20,TTR- Disable MT50/10 measurements (Test269),TTR,2,
excel_import,SUMMIT,SUMMIT-1526,Done,SSDC,2025-11-20,BER_OPTI remove redundant repeated T461,TTR,3,
excel_import,SUMMIT,SUMMIT-1374,Done,SSDC,2025-11-20,Update boost opti range for more stable zn to zn CTF,TTR,1.3,
excel_import,SUMMIT,SUMMIT-1343,Done,Korat FW,2025-11-20,Reduce num of read  (VBAR WP) (pull in),TTR,1.3,
excel_import,SUMMIT,SUMMIT-1345,Done,Korat FW,2025-11-20,TTR BPI - TPI FMT update (Pull in),TTR,0.4,
excel_import,SUMMIT,"SUMMIT-1431,
SUMMIT-1580",Done,SG SW team,2025-11-20,SPFS with SkInc optimization (CMR/ SMR),TTR,1,
excel_import,SUMMIT,SUMMIT-1314,Done,SSDC,2025-11-20,TTR T297 optimize data collection CAL2 (Pull in),TTR,3,
excel_import,SUMMIT,SUMMIT-366,Done,CT & US Test process,2025-11-20,"PROZ from preamp allocation as of Feb10,2025 (50% to 100%)",TTR,50,
excel_import,SUMMIT,,,,2025-11-20,"STFL for SMR&HSMR (70% Q1, 100% Q2)",TTR,,
excel_import,SUMMIT,,,,2025-11-20,     4.7.1) PCO 3.6.2C- turn on Variable spare 7hrs,TTR,0,
