Source,Program,Task_ID,Status,User_Name,Date_Time,Task_Name,Improvement_Type,Business_Key,Import_Batch_ID,Import_TS,Change_Type,Snapshot_Signature,Notes,Reviewed_Flag
jira_issues,SUMMIT,SUMMIT-2329,Closed,Gronggaew (GG) Boonjuang,2025-09-04T18:27:10+08:00,PCO Item - PCO3.7.3GC,TTR,jira_issues|summit|summit-2329,20251116-140537,2025-11-16T14:05:37,NEW,closed|gronggaew (gg) boonjuang|pco item - pco3.7.3gc|ttr,,
jira_issues,SUMMIT,SUMMIT-2328,Closed,Gronggaew (GG) Boonjuang,2025-09-04T18:12:21+08:00,PCO Item - PCO3.7.3GB,TTR,jira_issues|summit|summit-2328,20251116-140537,2025-11-16T14:05:37,NEW,closed|gronggaew (gg) boonjuang|pco item - pco3.7.3gb|ttr,,
jira_issues,SUMMIT,SUMMIT-2327,Closed,Sien Huay Chong,2025-09-04T11:14:30+08:00,TTR: New Servo Code xx66,TTR,jira_issues|summit|summit-2327,20251116-140537,2025-11-16T14:05:37,NEW,closed|sien huay chong|ttr: new servo code xx66|ttr,,
jira_issues,SUMMIT,SUMMIT-2326,Closed,Sien Huay Chong,2025-09-04T10:15:56+08:00,TTR: items from PCO 3.7.3x to PCO 3.8.1 branch,TTR,jira_issues|summit|summit-2326,20251116-140537,2025-11-16T14:05:37,NEW,closed|sien huay chong|ttr: items from pco 3.7.3x to pco 3.8.1 branch|ttr,,
jira_issues,SUMMIT,SUMMIT-2324,Closed,Zay Yar Myint,2025-09-02T13:16:45+08:00,"TTR: Release Block Point ""E"" Servo Code CEC3 for Summit SMR 30TB VC",TTR,jira_issues|summit|summit-2324,20251116-140537,2025-11-16T14:05:37,NEW,"closed|zay yar myint|ttr: release block point ""e"" servo code cec3 for summit smr 30tb vc|ttr",,
jira_issues,SUMMIT,SUMMIT-2322,Closed,Gronggaew (GG) Boonjuang,2025-09-01T11:44:20+08:00,TTR: T150 PWT by Exception ,TTR,jira_issues|summit|summit-2322,20251116-140537,2025-11-16T14:05:37,NEW,closed|gronggaew (gg) boonjuang|ttr: t150 pwt by exception|ttr,,
jira_issues,SUMMIT,SUMMIT-2321,Closed,Sien Huay Chong,2025-08-29T21:59:56+08:00,TTR: T411 iVBAR for Summit,TTR,jira_issues|summit|summit-2321,20251116-140537,2025-11-16T14:05:37,NEW,closed|sien huay chong|ttr: t411 ivbar for summit|ttr,,
jira_issues,SUMMIT,SUMMIT-2319,Closed,Sien Huay Chong,2025-08-27T10:19:22+08:00,TTR : VBAR_ATI_IVBAR Further reduction,TTR,jira_issues|summit|summit-2319,20251116-140537,2025-11-16T14:05:37,NEW,closed|sien huay chong|ttr : vbar_ati_ivbar further reduction|ttr,,
jira_issues,SUMMIT,SUMMIT-2317,Closed,Sien Huay Chong,2025-08-26T21:14:13+08:00,TTR: VBAR_ZN_IVBAR Further,TTR,jira_issues|summit|summit-2317,20251116-140537,2025-11-16T14:05:37,NEW,closed|sien huay chong|ttr: vbar_zn_ivbar further|ttr,,
jira_issues,SUMMIT,SUMMIT-2315,Closed,Gronggaew (GG) Boonjuang,2025-08-26T15:57:49+08:00,PCO Item - PCO3.7.3A_EFL2C,TTR,jira_issues|summit|summit-2315,20251116-140537,2025-11-16T14:05:37,NEW,closed|gronggaew (gg) boonjuang|pco item - pco3.7.3a_efl2c|ttr,,
jira_issues,MARLIN,MARLINCT-2235,Open,Allen Tseng,2025-11-05T03:03:36+08:00,Remove power cycles ,TTR,jira_issues|marlin|marlinct-2235,20251116-140537,2025-11-16T14:05:37,NEW,open|allen tseng|remove power cycles around spfs and lfa cal|ttr,,
jira_issues,MARLIN,MARLINCT-2232,Open,Oleg Zherdetsky,2025-11-01T04:28:25+08:00,Marlin SCopy TTR,TTR,jira_issues|marlin|marlinct-2232,20251116-140537,2025-11-16T14:05:37,NEW,open|oleg zherdetsky|marlin scopy ttr|ttr,,
jira_issues,MARLIN,MARLINCT-2226,In Progress,Oleg Zherdetsky,2025-10-25T00:46:10+08:00,SF3 reloadRAP eval,TTR,jira_issues|marlin|marlinct-2226,20251116-140537,2025-11-16T14:05:37,NEW,in progress|oleg zherdetsky|sf3 reloadrap eval|ttr,,
jira_issues,MARLIN,MARLINCT-2225,Open,Oleg Zherdetsky,2025-10-25T00:20:28+08:00,OEE: Re-arrange Hot and Cold Operation ,TTR,jira_issues|marlin|marlinct-2225,20251116-140537,2025-11-16T14:05:37,NEW,open|oleg zherdetsky|oee: re-arrange hot and cold operation|ttr,,
jira_issues,MARLIN,MARLINCT-2221,Resolved,Oleg Zherdetsky,2025-10-24T02:08:44+08:00,Release PCO 7.3.03,TTR,jira_issues|marlin|marlinct-2221,20251116-140537,2025-11-16T14:05:37,NEW,resolved|oleg zherdetsky|release pco 7.3.03|ttr,,
jira_issues,MARLIN,MARLINCT-2217,Resolved,Allen Tseng,2025-10-21T05:48:41+08:00,Active Servo Flaw Table (ASFT) build algorithm change,TTR,jira_issues|marlin|marlinct-2217,20251116-140537,2025-11-16T14:05:37,NEW,resolved|allen tseng|active servo flaw table (asft) build algorithm change|ttr,,
jira_issues,MARLIN,MARLINCT-2210,Resolved,Oleg Zherdetsky,2025-10-16T04:07:36+08:00,Removal of offset search and channel training reads,TTR,jira_issues|marlin|marlinct-2210,20251116-140537,2025-11-16T14:05:37,NEW,resolved|oleg zherdetsky|removal of offset search and channel training reads|ttr,,
jira_issues,MARLIN,MARLINCT-2209,Open,Mihir Sathe,2025-10-16T03:58:56+08:00,T55 - ZAP track reduction,TTR,jira_issues|marlin|marlinct-2209,20251116-140537,2025-11-16T14:05:37,NEW,open|mihir sathe|t55 - zap track reduction|ttr,,
jira_issues,MARLIN,MARLINCT-2202,Open,Allen Tseng,2025-10-10T01:08:23+08:00,apply Increase Opti LC_Delay step size from 2 to 4 to all opti calls,TTR,jira_issues|marlin|marlinct-2202,20251116-140537,2025-11-16T14:05:37,NEW,open|allen tseng|apply increase opti lc_delay step size from 2 to 4 to all opti calls|ttr,,
jira_issues,MARLIN,MARLINCT-2201,Open,Allen Tseng,2025-10-10T01:04:06+08:00,Increase Opti LC_Delay step size from 2 to 4,TTR,jira_issues|marlin|marlinct-2201,20251116-140537,2025-11-16T14:05:37,NEW,open|allen tseng|increase opti lc_delay step size from 2 to 4|ttr,,
jira_issues,MARLIN,MARLINCT-2200,Open,Allen Tseng,2025-10-10T01:00:45+08:00,Opti settling bypass BIE,TTR,jira_issues|marlin|marlinct-2200,20251116-140537,2025-11-16T14:05:37,NEW,open|allen tseng|opti settling bypass bie|ttr,,
jira_issues,MARLIN,MARLINCT-2198,Resolved,Oleg Zherdetsky,2025-10-08T09:27:31+08:00,Release PCO 7.2.10D,TTR,jira_issues|marlin|marlinct-2198,20251116-140537,2025-11-16T14:05:37,NEW,resolved|oleg zherdetsky|release pco 7.2.10d|ttr,,
jira_issues,MARLIN,MARLINCT-2193,In Progress,Allen Tseng,2025-10-02T02:21:07+08:00,Trianglewave injection IOP calibration in LASER_INIT ,TTR,jira_issues|marlin|marlinct-2193,20251116-140537,2025-11-16T14:05:37,NEW,in progress|allen tseng|trianglewave injection iop calibration in laser_init|ttr,,
jira_issues,MARLIN,MARLINCT-2192,Resolved,Allen Tseng,2025-10-01T04:00:30+08:00,PC file compression,TTR,jira_issues|marlin|marlinct-2192,20251116-140537,2025-11-16T14:05:37,NEW,resolved|allen tseng|pc file compression|ttr,,
jira_issues,MARLIN BP,MBP-1931,In Progress,Billy Aas,2025-10-29T00:31:06+08:00,MarlinBP 10k RPM eval at SPIN OPER (Soak Time reduction eval),TTR,jira_issues|marlin bp|mbp-1931,20251116-140537,2025-11-16T14:05:37,NEW,in progress|billy aas|marlinbp 10k rpm eval at spin oper (soak time reduction eval)|ttr,,
jira_issues,MARLIN BP,MBP-1926,Resolved,Billy Aas,2025-10-25T02:42:01+08:00,CLONE - Optimize get ta rec for TA access and audit lookup,TTR,jira_issues|marlin bp|mbp-1926,20251116-140537,2025-11-16T14:05:37,NEW,resolved|billy aas|clone - optimize get ta rec for ta access and audit lookup|ttr,,
jira_issues,MARLIN BP,MBP-1924,In Progress,Billy Aas,2025-10-25T00:16:51+08:00,SF3 ReloadRAP Eval,TTR,jira_issues|marlin bp|mbp-1924,20251116-140537,2025-11-16T14:05:37,NEW,in progress|billy aas|sf3 reloadrap eval|ttr,,
jira_issues,MARLIN BP,MBP-1917,In Progress,Chee Meng Low,2025-10-21T23:31:44+08:00,CLONE - Evaluate modification of Active Servo Flaw Table (ASFT) build algorithm.,TTR,jira_issues|marlin bp|mbp-1917,20251116-140537,2025-11-16T14:05:37,NEW,in progress|chee meng low|clone - evaluate modification of active servo flaw table (asft) build algorithm.|ttr,,
jira_issues,MARLIN BP,MBP-1916,In Progress,Billy Aas,2025-10-21T22:30:49+08:00,"WPOPTI: Pickup of SF3 TTR, and PF3 TTR",TTR,jira_issues|marlin bp|mbp-1916,20251116-140537,2025-11-16T14:05:37,NEW,"in progress|billy aas|wpopti: pickup of sf3 ttr, and pf3 ttr|ttr",,
jira_issues,MARLIN BP,MBP-1908,Resolved,Billy Aas,2025-10-18T02:17:00+08:00,TA dwell - MBP drive,TTR,jira_issues|marlin bp|mbp-1908,20251116-140537,2025-11-16T14:05:37,NEW,resolved|billy aas|ta dwell - mbp drive|ttr,,
jira_issues,MARLIN BP,MBP-1907,Resolved,Billy Aas,2025-10-18T02:13:04+08:00,Marlin BP TA dwell,TTR,jira_issues|marlin bp|mbp-1907,20251116-140537,2025-11-16T14:05:37,NEW,resolved|billy aas|marlin bp ta dwell|ttr,,
jira_issues,DORADO,DORADO-1349,In Progress,Allen Tseng,2025-11-06T04:42:19+08:00,TTR - T282 supports on single rate sensitivity scoring and combined BODE,TTR,jira_issues|dorado|dorado-1349,20251116-140537,2025-11-16T14:05:37,NEW,in progress|allen tseng|ttr - t282 supports on single rate sensitivity scoring and combined bode|ttr,,
jira_issues,DORADO,DORADO-1335,SME Verification,Allen Tseng,2025-10-29T21:28:16+08:00,10krpm eval at SPIN oper on Dorado,TTR,jira_issues|dorado|dorado-1335,20251116-140537,2025-11-16T14:05:37,NEW,sme verification|allen tseng|10krpm eval at spin oper on dorado|ttr,,
jira_issues,DORADO,DORADO-1332,Open,Mihir Sathe,2025-10-29T02:13:10+08:00,Add Hd screen specs of T297 checkerboard Tests,TTR,jira_issues|dorado|dorado-1332,20251116-140537,2025-11-16T14:05:37,NEW,open|mihir sathe|add hd screen specs of t297 checkerboard tests|ttr,,
jira_issues,DORADO,DORADO-1327,Open,Brandon Muhlach,2025-10-27T23:26:56+08:00,Managing TPM/MemDump files for ToolsGUI,TTR,jira_issues|dorado|dorado-1327,20251116-140537,2025-11-16T14:05:37,NEW,open|brandon muhlach|managing tpm/memdump files for toolsgui|ttr,,
jira_issues,DORADO,DORADO-1322,Resolved,Erik Hofvander,2025-10-26T10:37:04+08:00,T282 Bode uAct Timeout Fix,TTR,jira_issues|dorado|dorado-1322,20251116-140537,2025-11-16T14:05:37,NEW,resolved|erik hofvander|t282 bode uact timeout fix|ttr,,
jira_issues,DORADO,DORADO-1320,Resolved,Rich Conniff,2025-10-25T02:32:15+08:00,Optimize get ta rec for TA access and audit lookup,TTR,jira_issues|dorado|dorado-1320,20251116-140537,2025-11-16T14:05:37,NEW,resolved|rich conniff|optimize get ta rec for ta access and audit lookup|ttr,,
jira_issues,DORADO,DORADO-1314,Open,Mihir Sathe,2025-10-24T02:27:01+08:00,LZR: VBAR_WpOpti: T220: Save the final pick NLTS and PP result to RAP and smooth the results across the stroke ,TTR,jira_issues|dorado|dorado-1314,20251116-140537,2025-11-16T14:05:37,NEW,open|mihir sathe|lzr: vbar_wpopti: t220: save the final pick nlts and pp result to rap and smooth the results across the stroke|ttr,,
jira_issues,DORADO,DORADO-1313,Open,Mihir Sathe,2025-10-24T00:29:57+08:00,"TTR: T451, T438: Reduce the Opti Reg in the T451 call before T438 in CAL2 FINE_UJOG_INIT",TTR,jira_issues|dorado|dorado-1313,20251116-140537,2025-11-16T14:05:37,NEW,"open|mihir sathe|ttr: t451, t438: reduce the opti reg in the t451 call before t438 in cal2 fine_ujog_init|ttr",,
jira_issues,SUMMIT,SUMMIT-2361,Open,Michael Foster,2025-11-08T05:47:24+08:00,test mmm ok,TTR,jira_issues|summit|summit-2364,20251116-140537,2025-11-16T14:05:37,NEW,open|michael foster|yip8 for summit rseed|ttr,,
jira_issues,SUMMIT,SUMMIT-2361,Open,Michael Foster,2025-11-08T05:47:24+08:00,test mmm ok,TTR,jira_issues|summit|summit-2364,20251116-140537,2025-11-16T14:05:37,NEW,open|michael foster|yip8 for summit rseed|ttr,,
jira_issues,SUMMIT,SUMMIT-2359,Closed,Gronggaew (GG) Boonjuang,2025-10-23T09:34:05+08:00,ok,TTR,jira_issues|summit|summit-2359,20251116-140537,2025-11-16T14:05:37,NEW,closed|gronggaew (gg) boonjuang|evaluate modification of active servo flaw table (asft) build algorithm|ttr,,
jira_issues,SUMMIT,SUMMIT-2355,Open,xxxx,ggg,TTR: TOPAZ ,TTR,jira_issues|summit|summit-2355,20251116-140537,2025-11-16T14:05:37,NEW,open|luh chyuan lau|ttr: topaz w/ proz integration|ttr,,
jira_issues,SUMMIT,SUMMIT-2347,SME Verification,Gronggaew (GG) Boonjuang,2025-09-26T18:03:34+08:00,PCO Item - PCO3.7.4B,TTR,jira_issues|summit|summit-2347,20251116-140537,2025-11-16T14:05:37,NEW,sme verification|gronggaew (gg) boonjuang|pco item - pco3.7.4b|ttr,,
jira_issues,SUMMIT,SUMMIT-2345,Reopened,Kwan Ng Loke,test,"enableDiags, Powercycle",TTR,jira_issues|summit|summit-2345,20251116-140537,2025-11-16T14:05:37,NEW,"reopened|kwan ng loke|ttr: pwt optimization: dnld_code, enablediags, powercycle|ttr",,
jira_issues,SUMMIT,SUMMIT-2334,Closed,Unassigned,2025-09-09T22:34:12+08:00,PCO Item - PCO3.7.3A_EFL2C2,TTR,jira_issues|summit|summit-2334,20251116-140537,2025-11-16T14:05:37,NEW,closed|unassigned|pco item - pco3.7.3a_efl2c2|ttr,,
jira_issues,SUMMIT,SUMMIT-2333,SME Verification,Unassigned,2025-09-09T19:17:29+08:00,PCO Item - PCO3.7.3A_EFL2B4,TTR,jira_issues|summit|summit-2333,20251116-140537,2025-11-16T14:05:37,NEW,sme verification|unassigned|pco item - pco3.7.3a_efl2b4|ttr,,
jira_issues,SUMMIT,SUMMIT-2331,Closed,Unassigned,2025-09-05T08:33:10+08:00,TTR: T461 Test Zone Aligment,TTR,jira_issues|summit|summit-2331,20251116-140537,2025-11-16T14:05:37,NEW,closed|unassigned|ttr: t461 test zone aligment|ttr,,
jira_issues,SUMMIT,SUMMIT-2330,Closed,Unassigned,2025-09-04T18:32:13+08:00,PCO Item - PCO3.7.3GD,TTR,jira_issues|summit|summit-2330,20251116-140537,2025-11-16T14:05:37,NEW,closed|unassigned|pco item - pco3.7.3gd|ttr,,
jira_issues,SUMMIT,SUMMIT-2329,Closed,Unassigned,2025-09-04T18:27:10+08:00,PCO Item - PCO3.7.3GC,TTR,jira_issues|summit|summit-2329,20251116-140537,2025-11-16T14:05:37,NEW,closed|unassigned|pco item - pco3.7.3gc|ttr,,
jira_issues,SUMMIT,SUMMIT-2328,Closed,Unassigned,2025-09-04T18:12:21+08:00,PCO Item - PCO3.7.3GB,TTR,jira_issues|summit|summit-2328,20251116-140537,2025-11-16T14:05:37,NEW,closed|unassigned|pco item - pco3.7.3gb|ttr,,
jira_issues,SUMMIT,SUMMIT-2327,Closed,Unassigned,2025-09-04T11:14:30+08:00,TTR: New Servo Code xx66,TTR,jira_issues|summit|summit-2327,20251116-140537,2025-11-16T14:05:37,NEW,closed|unassigned|ttr: new servo code xx66|ttr,,
jira_issues,SUMMIT,SUMMIT-2326,Closed,Unassigned,2025-09-04T10:15:56+08:00,TTR: items from PCO 3.7.3x to PCO 3.8.1 branch,TTR,jira_issues|summit|summit-2326,20251116-140537,2025-11-16T14:05:37,NEW,closed|unassigned|ttr: items from pco 3.7.3x to pco 3.8.1 branch|ttr,,
jira_issues,SUMMIT,SUMMIT-2324,Closed,Unassigned,2025-09-02T13:16:45+08:00,"TTR: Release Block Point ""E"" Servo Code CEC3 for Summit SMR 30TB VC",TTR,jira_issues|summit|summit-2324,20251116-140537,2025-11-16T14:05:37,NEW,"closed|unassigned|ttr: release block point ""e"" servo code cec3 for summit smr 30tb vc|ttr",,
jira_issues,SUMMIT,SUMMIT-2322,Closed,Unassigned,2025-09-01T11:44:20+08:00,TTR: T150 PWT by Exception ,TTR,jira_issues|summit|summit-2322,20251116-140537,2025-11-16T14:05:37,NEW,closed|unassigned|ttr: t150 pwt by exception|ttr,,
jira_issues,SUMMIT,SUMMIT-2321,Closed,Unassigned,2025-08-29T21:59:56+08:00,TTR: T411 iVBAR for Summit,TTR,jira_issues|summit|summit-2321,20251116-140537,2025-11-16T14:05:37,NEW,closed|unassigned|ttr: t411 ivbar for summit|ttr,,
jira_issues,SUMMIT,SUMMIT-2319,Closed,Unassigned,2025-08-27T10:19:22+08:00,TTR : VBAR_ATI_IVBAR Further reduction,TTR,jira_issues|summit|summit-2319,20251116-140537,2025-11-16T14:05:37,NEW,closed|unassigned|ttr : vbar_ati_ivbar further reduction|ttr,,
jira_issues,SUMMIT,SUMMIT-2317,Closed,Unassigned,2025-08-26T21:14:13+08:00,TTR: VBAR_ZN_IVBAR Further,TTR,jira_issues|summit|summit-2317,20251116-140537,2025-11-16T14:05:37,NEW,closed|unassigned|ttr: vbar_zn_ivbar further|ttr,,
jira_issues,MARLIN,MARLINCT-2246,Resolved,Unassigned,2025-11-14T12:46:03+08:00,CLONE - MBP: FPW & SPFS Power Cycle Removal around LFA,TTR,jira_issues|marlin|marlinct-2246,20251116-140537,2025-11-16T14:05:37,NEW,resolved|unassigned|clone - mbp: fpw & spfs power cycle removal around lfa|ttr,,
jira_issues,MARLIN,MARLINCT-2243,Open,Unassigned,2025-11-13T15:55:33+08:00,Align FINE_JOG_CAL to remove T451 following PCO7.2x to PCO7.3x,TTR,jira_issues|marlin|marlinct-2243,20251116-140537,2025-11-16T14:05:37,NEW,open|unassigned|align fine_jog_cal to remove t451 following pco7.2x to pco7.3x|ttr,,
jira_issues,MARLIN,MARLINCT-2239,In Progress,Unassigned,2025-11-12T02:07:20+08:00,Live TCC eval for t55 TTR,TTR,jira_issues|marlin|marlinct-2239,20251116-140537,2025-11-16T14:05:37,NEW,in progress|unassigned|live tcc eval for t55 ttr|ttr,,
jira_issues,MARLIN,MARLINCT-2235,Open,Allen Tseng,2025-11-05T03:03:36+08:00,Remove power cycles ,TTR,jira_issues|marlin|marlinct-2235,20251116-140537,2025-11-16T14:05:37,NEW,open|allen tseng|remove power cycles around spfs and lfa cal|ttr,,
jira_issues,MARLIN,MARLINCT-2232,SME Verification,Unassigned,2025-11-01T04:28:25+08:00,Marlin SCopy TTR,TTR,jira_issues|marlin|marlinct-2232,20251116-140537,2025-11-16T14:05:37,NEW,sme verification|unassigned|marlin scopy ttr|ttr,,
jira_issues,MARLIN,MARLINCT-2227,Resolved,Unassigned,2025-10-27T10:06:04+08:00,"CLONE - WPOPTI: Pickup of SF3 TTR, and PF3 TTR",TTR,jira_issues|marlin|marlinct-2227,20251116-140537,2025-11-16T14:05:37,NEW,"resolved|unassigned|clone - wpopti: pickup of sf3 ttr, and pf3 ttr|ttr",,
jira_issues,MARLIN,MARLINCT-2226,In Progress,Unassigned,2025-10-25T00:46:10+08:00,SF3 reloadRAP eval,TTR,jira_issues|marlin|marlinct-2226,20251116-140537,2025-11-16T14:05:37,NEW,in progress|unassigned|sf3 reloadrap eval|ttr,,
jira_issues,MARLIN,MARLINCT-2225,Open,Unassigned,2025-10-25T00:20:28+08:00,OEE: Re-arrange Hot and Cold Operation ,TTR,jira_issues|marlin|marlinct-2225,20251116-140537,2025-11-16T14:05:37,NEW,open|unassigned|oee: re-arrange hot and cold operation|ttr,,
jira_issues,MARLIN,MARLINCT-2221,Resolved,Unassigned,2025-10-24T02:08:44+08:00,Release PCO 7.3.03,TTR,jira_issues|marlin|marlinct-2221,20251116-140537,2025-11-16T14:05:37,NEW,resolved|unassigned|release pco 7.3.03|ttr,,
jira_issues,MARLIN,MARLINCT-2217,Resolved,Unassigned,2025-10-21T05:48:41+08:00,Active Servo Flaw Table (ASFT) build algorithm change,TTR,jira_issues|marlin|marlinct-2217,20251116-140537,2025-11-16T14:05:37,NEW,resolved|unassigned|active servo flaw table (asft) build algorithm change|ttr,,
jira_issues,MARLIN,MARLINCT-2210,Resolved,Unassigned,2025-10-16T04:07:36+08:00,Removal of offset search and channel training reads,TTR,jira_issues|marlin|marlinct-2210,20251116-140537,2025-11-16T14:05:37,NEW,resolved|unassigned|removal of offset search and channel training reads|ttr,,
jira_issues,MARLIN,MARLINCT-2209,Open,Unassigned,2025-10-16T03:58:56+08:00,T55 - ZAP track reduction,TTR,jira_issues|marlin|marlinct-2209,20251116-140537,2025-11-16T14:05:37,NEW,open|unassigned|t55 - zap track reduction|ttr,,
jira_issues,MARLIN,MARLINCT-2202,Open,Unassigned,2025-10-10T01:08:23+08:00,apply Increase Opti LC_Delay step size from 2 to 4 to all opti calls,TTR,jira_issues|marlin|marlinct-2202,20251116-140537,2025-11-16T14:05:37,NEW,open|unassigned|apply increase opti lc_delay step size from 2 to 4 to all opti calls|ttr,,
jira_issues,MARLIN,MARLINCT-2201,Open,Unassigned,2025-10-10T01:04:06+08:00,Increase Opti LC_Delay step size from 2 to 4,TTR,jira_issues|marlin|marlinct-2201,20251116-140537,2025-11-16T14:05:37,NEW,open|unassigned|increase opti lc_delay step size from 2 to 4|ttr,,
jira_issues,MARLIN,MARLINCT-2200,Open,Unassigned,2025-10-10T01:00:45+08:00,Opti settling bypass BIE,TTR,jira_issues|marlin|marlinct-2200,20251116-140537,2025-11-16T14:05:37,NEW,open|unassigned|opti settling bypass bie|ttr,,
jira_issues,MARLIN,MARLINCT-2198,Resolved,Unassigned,2025-10-08T09:27:31+08:00,Release PCO 7.2.10D,TTR,jira_issues|marlin|marlinct-2198,20251116-140537,2025-11-16T14:05:37,NEW,resolved|unassigned|release pco 7.2.10d|ttr,,
jira_issues,MARLIN BP,MBP-1958,Open,Unassigned,2025-11-13T05:12:58+08:00,Create new config based 5.0.5L7 +PROZ SFW,TTR,jira_issues|marlin bp|mbp-1958,20251116-140537,2025-11-16T14:05:37,NEW,open|unassigned|create new config based 5.0.5l7 +proz sfw|ttr,,
jira_issues,MARLIN BP,MBP-1957,Resolved,Unassigned,2025-11-13T03:31:53+08:00,CLONE - TOPAZ for PROZ,TTR,jira_issues|marlin bp|mbp-1957,20251116-140537,2025-11-16T14:05:37,NEW,resolved|unassigned|clone - topaz for proz|ttr,,
jira_issues,MARLIN BP,MBP-1955,Open,Unassigned,2025-11-12T09:46:32+08:00,TOPAZ for PROZ,TTR,jira_issues|marlin bp|mbp-1955,20251116-140537,2025-11-16T14:05:37,NEW,open|unassigned|topaz for proz|ttr,,
jira_issues,MARLIN BP,MBP-1954,Open,Unassigned,2025-11-12T09:27:32+08:00,CLONE - MarlinBP Write/Read Transfer Rate Reduction.,TTR,jira_issues|marlin bp|mbp-1954,20251116-140537,2025-11-16T14:05:37,NEW,open|unassigned|clone - marlinbp write/read transfer rate reduction.|ttr,,
jira_issues,MARLIN BP,MBP-1931,SME Verification,Unassigned,2025-10-29T00:31:06+08:00,MarlinBP 10k RPM eval at SPIN OPER (Soak Time reduction eval),TTR,jira_issues|marlin bp|mbp-1931,20251116-140537,2025-11-16T14:05:37,NEW,sme verification|unassigned|marlinbp 10k rpm eval at spin oper (soak time reduction eval)|ttr,,
jira_issues,MARLIN BP,MBP-1926,Resolved,Unassigned,2025-10-25T02:42:01+08:00,CLONE - Optimize get ta rec for TA access and audit lookup,TTR,jira_issues|marlin bp|mbp-1926,20251116-140537,2025-11-16T14:05:37,NEW,resolved|unassigned|clone - optimize get ta rec for ta access and audit lookup|ttr,,
jira_issues,MARLIN BP,MBP-1924,In Progress,Unassigned,2025-10-25T00:16:51+08:00,SF3 ReloadRAP Eval,TTR,jira_issues|marlin bp|mbp-1924,20251116-140537,2025-11-16T14:05:37,NEW,in progress|unassigned|sf3 reloadrap eval|ttr,,
jira_issues,MARLIN BP,MBP-1917,Resolved,Unassigned,2025-10-21T23:31:44+08:00,CLONE - Evaluate modification of Active Servo Flaw Table (ASFT) build algorithm.,TTR,jira_issues|marlin bp|mbp-1917,20251116-140537,2025-11-16T14:05:37,NEW,resolved|unassigned|clone - evaluate modification of active servo flaw table (asft) build algorithm.|ttr,,
