Source,Program,Task_ID,Status,User_Name,Date_Time,Task_Name,Improvement_Type,GAIN,Impact oper,User_Review,Merge_Action,TARGET_PCO,IMPLEMENT_PCO,Business_Key,Task_ID_Source,Title,Status_Raw,Owner_Raw,Updated_TS_Raw,Last_Sync_TS
excel_import,MARLIN BP,MBP-972,,DC,11/18/2025,PROZ   (note: PROZ chg is in PCO 5.0.4),TTR,100,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1444,,,11/18/2025,T282 C0 sensitivity opti,TTR,7,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1525,,,11/18/2025,Erasure Testing - Fast Write Modes (T298/T299),TTR,0,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1718,,,11/18/2025,TTR: To close TT gap (vs Marlin) - BER measurement,TTR,5,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1739,,,11/18/2025,T282 sensitivity projection optimization - data & test time reduction,TTR,0,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1671,,,11/18/2025,TTR - Radical malloc eval,TTR,10,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1846,,Korat FW,11/18/2025,LASER_INIT test process optimization,TTR,1,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1625,,,11/18/2025,ZAP Seek Path Optimization,TTR,3.6,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1602,,,11/18/2025,SPFS T2108 Read TTR by increasing CertTrkStep (SkInc) to 75 from default 30 (CMR only),TTR,0.6,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1704,,,11/18/2025,Reduce redundant zones test of VBAR_ATI,TTR,2,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1852,,,11/18/2025,Removal of Offset Search & Channel Training Reads,TTR,??,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1916,,DC,11/18/2025,WP Optimization,TTR,??,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1926,,,11/18/2025,Optimize get ta rec for TA access and audit lookup,TTR,0.4??,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1774,,,11/18/2025,Add DRAM screen while soaking test,TTR,??,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1792,,Servo DC,11/18/2025,MarlinBP remove state (est. 43 hrs) ??,TTR,0,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1856,,,11/18/2025,T451 Derived Opti: Update Anchor zone behavior and set anchor zone mask,TTR,,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1815,,,11/18/2025,FPW & SPFS Power Cycle Removal around LFA,TTR,,,,modified,,,,,,,,,
excel_import,MARLIN BP,"MBP-1884, MBP-1887",,Korat FW/DC TP/ARS,11/18/2025,FPW removal,TTR,45,,,modified,,,,,,,,,
excel_import,MARLIN BP,Need Jira,,,11/18/2025,POML all mode for SMR,TTR,,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1731,,,11/18/2025,Scopy TA Scan Feed Forward,TTR,12,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1705,,DC,11/18/2025,"Project to remove UACT1 ""milli"" actuator",TTR,2,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-,,,11/18/2025,Skip track certify CMR (can we pull in 1 qtr)/ (MarlinCT-1980),TTR,20,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1730,,,11/18/2025,SMR Format removal (SMR only),TTR,25??,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1909,,Korat FW/ARS DC,11/18/2025,T55 with independent ZAP track (can we pull in?,TTR,10,,,modified,,,,,,,,,
excel_import,MARLIN BP,need jira,,Servo DC,11/18/2025,Z-path (5hrs?) (can it pull in before Q3? - Mingzhong,TTR,5??,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1931,,,11/18/2025,10k RPM eval at SPIN OPER (Soak Time reduction eval),TTR,,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1488,,,11/18/2025,T451 Random Pattern Generation 5% TTR (when?),TTR,0,,,modified,,,,,,,,,
excel_import,MARLIN BP,"MBP-1501, 1759, 1760",,,11/18/2025,3rev to 2rev ZAP 30TBLV Meta (30 hrs but won't intersect in time for Meta),TTR,0,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1405,,,11/18/2025,FNC2 T150 Linearization monitor (1.2) (1hr?),TTR,0,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1013,,PCO 4.2.1,11/18/2025,NDS in parallel with soak (anneal) (9H heads only),TTR,,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1403,,,11/18/2025,PRE2 GMR_RES_2x monitor (0.2),TTR,,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1236,,DC,11/18/2025,T461 AC Erase Support,TTR,0,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1307,1.5,Korat FW / PE,11/18/2025,Reduce drive off time,TTR,,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1199,2,Korat FW,11/18/2025,Update BPI/TPI FMT via PC file,TTR,,,,modified,,,,,,,,,
excel_import,MARLIN BP,https://jira.seagate.com/jira/browse/MARLINCT-1799,1,,11/18/2025,Reduce t461 to odd/even zones and reduce the number of reads per write,TTR,,,,modified,,,,,,,,,
excel_import,MARLIN BP,https://jira.seagate.com/jira/browse/MARLINCT-1800,2.5,,11/18/2025,TTR: Reduce T33 zone test,TTR,,,,modified,,,,,,,,,
excel_import,MARLIN BP,https://jira.seagate.com/jira/browse/MARLINCT-1807,3,,11/18/2025,"TTR: Write/Read Xfer Test Zn reduce (0,2,104)",TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-1797,"PCO7.1.11F, Implemented",DC HW,11/18/2025,          1) COBRA op 6-11% push (see actual TT look like) (ZAP) - [L] [CAL2],TTR,0,,,same,,,,,,,,,
excel_import,MARLIN,MARLINCT-1803,"PCO7.1.11F, Implemented",DC HW,11/18/2025,"          2) DPCO logic flow update under state parameter applyMaxDpcoWriteClr. - [L] [CAL, CAL2]",TTR,0.5,,,same,,,,,,,,,
excel_import,MARLIN,,,,11/18/2025,     4.12) PCO7.1.11K/Q - 16.9hrs,TTR,0,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-1800,"PCO7.1.11K, Implemented",DC HW,11/18/2025,          1) Revisit T33 call - reduce qty & Sampling revs - [L] [PRE2-FNC2],TTR,2.5,,,same,,,,,,,,,
excel_import,MARLIN,MARLINCT-1798,"PCO7.1.11K, Implemented",DC HW,11/18/2025,"          2)TTR: PCBA_SCRN_T102 Optimization - [L] [PRE2, CRT2, PWT]",TTR,1,,,same,,,,,,,,,
excel_import,MARLIN,MARLINCT-1742,"PCO7.1.11K, Implemented",Ops Eng,11/18/2025,          3) Update BPI/TPI FMT viz PC file on HSMR - [L] [CAL2],TTR,2,,,same,,,,,,,,,
excel_import,MARLIN,MARLINCT-1807,"PCO7.1.11K, Implemented",Ops Eng,11/18/2025,          4) W/R Xfer Sampling Test - [L][FIN2],TTR,3,,,same,,,,,,,,,
excel_import,MARLIN,MARLINCT-1809,"PCO7.1.11K, Implemented",Ops Eng,11/18/2025,          5) FIN2 HAMR file 100 polling optimization - [L][FIN2],TTR,1,,,same,,,,,,,,,
excel_import,MARLIN,MARLINCT-1815,"PCO7.1.11K, Implemented",Ops Eng,11/18/2025,          6) Download code process optimization or temp lock - [FIN2],TTR,0.4,,,same,,,,,,,,,
excel_import,MARLIN,MARLINCT-1828,"PCO7.1.11K, Implemented",DC HW,11/18/2025,          7) SF3_DPCO_CAL2 removal - [L][CAL2],TTR,6,,,same,,,,,,,,,
excel_import,MARLIN,MARLINCT-1821,"PCO7.1.11K, Implemented",DC HW,11/18/2025,          8) Write Opti - Read Reduction: 2 reads to 1 - [L][CAL2],TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-1799,"PCO7.2.04F, Implemented",DC HW,11/18/2025,          1) T461reduction / T461 during ZAP (do only even or odd zone) - [L] [PRE2-PWT],TTR,2.6,,,same,,,,,,,,,
excel_import,MARLIN,MARLINCT-1859,"PCO7.2.04F, Implemented",DC HW,11/18/2025,          2) TTR: Remove PRE2 prm_282_hiResVCMBodeTemp. - [L][PRE2],TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-1864,"PCO7.2.04F, Implemented",DC HW,11/18/2025,          3) ASSCI diag removal for TTR - [FIN2],TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-1865,"PCO7.2.04F, Implemented",,11/18/2025,"          4) TTR: PCBA_SCRN_T102 Optimization #2 - [PRE2,CRT2,PWT]",TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-1757,"PCO7.2.04F, Implemented",,11/18/2025,          5) T299: Disable Track Center Search - [PRE2-PWT],TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,"MARLINCT-365
MARLINCT-1805","PCO7.2.04F, Implemented",DC HW,11/18/2025,          6) HSMR write pass rml (PWT intercept) - [PWT],TTR,45,,,same,,,,,,,,,
excel_import,MARLIN,"MARLINCT-1784
MARLINCT-1643
MARLINCT-1763","cut-in 100%
 in FW2605 (6-Aug-25)",DC HW/DC TP,11/18/2025,"           1) PROZ phase #1 (H-CMR mode) - [FNC2] - phase in 60%, 100% by month",TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-1853,,,11/18/2025,          1) T47 change to accommodate SCOPY TTR change. [SCOPY],TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-1861,,DC HW,11/18/2025,"          2) Marlin - T33 calls - Reduce Rev - [L][PRE2,FNC2]",TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-1889,,,11/18/2025,          3) TTR opportunity of using DTS commmand - [L][FIN2],TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-1911,,,11/18/2025,          4) Small TTR- baud verification - [L][FIN2],TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-1857,,DC HW,11/18/2025,"          5) C0 sensitivity scoring from multi-rate to single-rate: - [PRE2, CAL]",TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-1879,,,11/18/2025,          6) T451 Random Pattern Generation 5% TTR - [CAL2],TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-1958,,,11/18/2025,"       1) TTR: T282 reduce ""idle time"" - [PRE2, CAL]",TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-1984,,,11/18/2025,"       2) Project to remove UACT1 ""milli"" actuator Bode",TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-2012,,,11/18/2025,       3) T282 – Bode convergence check,TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-2018,,,11/18/2025,"       4) Reducing the SkDly in t135 from 20ms to 0ms [PRE2,CAL,PWT]",TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-1676,"In PCO7.207, need investigate",,11/18/2025,       5) TCG_PREP EC11087 improvment [FIN2],TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-2008,,,11/18/2025,       1) TTR: ZAP Seek Path Optimization ( PROZ/OCZ ) [EWC T275] - [FNC2],TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-2100,,,11/18/2025,       2) LASER_INIT process optimize,TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-1916,,,11/18/2025,       3) T2108 Read TTR by increasing CertTrkStep (SkInc) to 75 from default 30 [FNC2],TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-2057,,,11/18/2025,"       4) EWC Radical malloc (15hrs) [CAL, CAL2,FNC2] (New)",TTR,12,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-1901,,,11/18/2025,       7) PC compression(Save state)- about 7 hrs,TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-1754,,,11/18/2025,       8) STFL Enable for SMR only ,TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-2131 ,,,11/18/2025,       1) DRAM test during soak test,TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-2143,,,11/18/2025,       2) Remove extra t461 BER measurements around ZA,TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-2159,,,11/18/2025,       3) Sample PSV_SCOPY_QUALITY state in PRE2.,TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-1948,In PCO7.3.01 onward,,11/18/2025,"       4) T285 DRCM optimize servo sector step iteration. [PRE2,PWT]",TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-1868,Apply fix intercept PWT issue,Ops Eng,11/18/2025,       5) Reduce redundance VBAR ATI - [L][CAL2],TTR,0,,,same,,,,,,,,,
excel_import,MARLIN,MARLINCT-2210,Already in PCO7.3.03,,11/18/2025,"        7) WPOPTI: Pickup of SF3 TTR, and PF3 TTR   (2.5+1 hrs)",TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-1704,"Pending RGA, CP WW20",,11/18/2025,       1) FPW CAL2 removal (45hrs) - (Can enable by CMS),TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-1913,US DC develop base Summit,DC HW,11/18/2025,      2) TA scan feed forward - [H][SCOPY],TTR,0,,,same,,,,,,,,,
excel_import,MARLIN,MARLINCT-2217,,,11/18/2025,       3) Active Servo Flaw Table (ASFT) build algorithm change,TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-2122,,,11/18/2025,       1) BER collection removal/reduce t25 rev/RRO screen removal,TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,Need Jira,"Global / SSDC, reviwoing ",,11/18/2025,       1) Leverage items from Summit,TTR,0,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-2200,,,11/18/2025,       2) Opti settling bypass BIE,TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-2201,,,11/18/2025,       3) Increase Opti LC_Delay step size from 2 to 4,TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-2202,,,11/18/2025,       4) apply Increase Opti LC_Delay step size from 2 to 4 to all opti calls,TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-1867,Task checkout,Ops Eng,11/18/2025,       2) VBAR ATI prediction ML - [L][CAL2] - ? hr - require TVM separate,TTR,0,,,same,,,,,,,,,
excel_import,MARLIN,MARLINCT-1820,Study by Korat,Ops Eng,11/18/2025,       3) VBAR lacer PRE2 predict ML phase 1 - [H][PRE2] - 1hr,TTR,0,,,same,,,,,,,,,
excel_import,MARLIN,MARLINCT-1846,Include in PCO7.2.10A,Ops Eng,11/18/2025,2) Optimize sorting time  (H-SMR mode) -  [L] [FNC2],TTR,0,,,same,,,,,,,,,
excel_import,MARLIN,MARLINCT-2117,Pending code release (15Aug),Ops Eng,11/18/2025,"3) ZAP 1-rev [FNC2][H] (maximum 60hr, projected 30 )- not allow",TTR,0,,,same,,,,,,,,,
excel_import,MARLIN,MARLINCT-2157,develop,,11/18/2025,        4) VBAR_WP OPTI write by conds [CAL2] [M](projected 4),TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,TSR-6211,"Require TIST 30x, TVM60
Control / TTR",,11/18/2025,        1) SMR POML  (12 hrs),TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,MARLINCT-2226,,,11/18/2025,        2) SF3 reloadRAP eval,TTR,,,,modified,,,,,,,,,
excel_import,MARLIN,1905,,DC HW,11/18/2025,       1) Soak Removal - [H][SPIN] [plan complere ww32] (120 hr),TTR,0,,,modified,,,,,,,,,
excel_import,MARLIN,"TSR-4468
MARLINCT-1749",Developing by US & Korat,DC TP/Op Eng,11/18/2025,        2) Bank write Phase1 -  FPW b4VBAR optimize by T463 (Bank Write) - [H][CAL2],TTR,0,,,same,,,,,,,,,
excel_import,MARLIN,TBD,Evaluation,Ops Eng/DC HW,11/18/2025,        1) MQM removal 100%,TTR,0,,,same,,,,,,,,,
excel_import,MARLIN,DISC-13649,Task checkout,Ops Eng,11/18/2025,       1) Remove duplicate T461 (CAL_BER) - [L][PRE2-PWT],TTR,0,,,same,,,,,,,,,
excel_import,MARLIN,"TSR-4851
MARLINCT-1890",SF3 developing,DC HW,11/18/2025,       4) Nimbus Split Temp (No wait Time) - Already in PCO7.2.05,TTR,0,,,same,,,,,,,,,
excel_import,MARLIN,MARLINCT-1833,Study by Korat,Ops Eng,11/18/2025,      2) Weld After Assembly - [H][PWT],TTR,0,,,same,,,,,,,,,
excel_import,MARLIN,MARLINCT-1782,Study by DC,DC HW,11/18/2025,      3) FMT certify by condition - [H][FIN2],TTR,0,,,same,,,,,,,,,
excel_import,MARLIN,1908,Follow up status by CJ,DC HW,11/18/2025,      5) T418 refractoring - [PRE2],TTR,0,,,same,,,,,,,,,
excel_import,MARLIN,1906,Study by DC,DC HW,11/18/2025,      9) DOS threshold reduce quantitis of zone as we see some more margin,TTR,0,,,same,,,,,,,,,
excel_import,MARLIN,FWSD-6603,,DC-FW,11/18/2025,     11) Merge Master Format and SinglePassFlawScan (SPFS),TTR,0,,,modified,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1187,Done,RW LCO&Korat FW / RTE,11/18/2025,        POML OTF,TTR,,,,modified,,,,,,,,,
excel_import,SUMMIT,"SUMMIT-1200	",Done,RW LCO&Korat FW / PE&RTE,11/18/2025,        POML WW,TTR,,,,modified,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1376,Done,Korat FW / LCO SF3,11/18/2025,        T102 optimize,TTR,,,,modified,,,,,,,,,
excel_import,SUMMIT,,Review opportunity,CT / PE,11/18/2025,Enable STFL 85% (pull in),TTR,,,,modified,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1132,Done,Servo SSDC / TCO PF3,11/18/2025,        ZAP Audit optimize (3.5.0C),TTR,,,,modified,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1188,Done,Korat FW / TCO PF3,11/18/2025,       T299 Reduce num wirte (3.5.0C),TTR,,,,modified,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1189,Done,Korat FW / LCO SF3,11/18/2025,        Power cycle optimize,TTR,,,,modified,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1450,Done,Korat FW/ SSDC,11/18/2025,T299 opti RAP saving ,TTR,,,,modified,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1430,Done,SG SW team,11/18/2025,T130 optimize,TTR,1.5,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1481,Done,SSDC,11/18/2025,T297 optimize,TTR,4,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1479,Done,Korat FW,11/18/2025,Opti HME compoment CAL2,TTR,1,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1502,Done,SSDC,11/18/2025,TTR- Disable MT50/10 measurements (Test269),TTR,2,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1526,Done,SSDC,11/18/2025,BER_OPTI remove redundant repeated T461,TTR,3,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1374,Done,SSDC,11/18/2025,Update boost opti range for more stable zn to zn CTF,TTR,1.3,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1343,Done,Korat FW,11/18/2025,Reduce num of read  (VBAR WP) (pull in),TTR,1.3,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1345,Done,Korat FW,11/18/2025,TTR BPI - TPI FMT update (Pull in),TTR,0.4,,,same,,,,,,,,,
excel_import,SUMMIT,"SUMMIT-1431,
SUMMIT-1580",Done,SG SW team,11/18/2025,SPFS with SkInc optimization (CMR/ SMR),TTR,1,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1314,Done,SSDC,11/18/2025,TTR T297 optimize data collection CAL2 (Pull in),TTR,3,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-366,Done,CT & US Test process,11/18/2025,"PROZ from preamp allocation as of Feb10,2025 (50% to 100%)",TTR,50,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1863,Done,Ops Eng,11/18/2025,BER_OPTI Variable spare (Pull in),TTR,5,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1708,Done,DE/ Korat FW,11/18/2025,"Reduce T299 Numwrt  (CAL2,  PWT), focus Expand",TTR,2.4,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1749,Done,SSDC,11/18/2025,Remove MAVGRO in Summit,TTR,5,,,same,,,,,,,,,
excel_import,SUMMIT,"SUMMIT-1202/
SUMMIT-1850 ",Done,Korat FW,11/18/2025,"FINE_UJOG_INIT TTR (Goby) by condition (CAL2-CMR/HSMR)
",TTR,1.6,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1757,Done,SSDC,11/18/2025,TTR: Remove SWD_CAL SkipWriteDetect_198 (CAL2/ CRT2),TTR,1.8,,,same,,,,,,,,,
excel_import,SUMMIT,"SUMMIT-1576/
TSR-4093",Done,SSDC,11/18/2025,TTR on Summit CMR PWT VARIABLE_SPARES (TT -1.5),TTR,0,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1834,Done,Wuxi FW,11/18/2025,"Remove T298 in T299_ATI and WRITE_SCRN (FNC2, PWT)",TTR,0.6,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1825,Done,Wuxi FW/ Korat FW,11/18/2025,Reduce PES(T33) test revs from 32 to 16 (FNC2),TTR,1,,,same,,,,,,,,,
excel_import,SUMMIT,"
SUMMIT-1703",Done,Korat FW,11/18/2025,"Special 24 hrs TTR, Pick only CRT2 T299 (CRT2)",TTR,1.2,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1509,Done,SSDC,11/18/2025,   TTR- Reduced BER measure WPOPTI (CAL2),TTR,2,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1545,Done,SSDC,11/18/2025,   TTR: T451 increase step size from 2 to 4 for LC_DELAY_SDW (CAL2),TTR,1,,,same,,,,,,,,,
excel_import,SUMMIT,"SUMMIT-1612,
SUMMIT-1772",Done,Korat FW / ARS,11/18/2025,   T299 optimize track center (FNC2),TTR,1,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1563,Done,Korat FW ,11/18/2025,   VBAR ATI reduce redundance (CAL2),TTR,5,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1511,Done,SSDC TP/ ARS,11/18/2025,Archor zn opti in Derived opti to rmv Read Opti OD,TTR,1.5,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1896,Done,SSDC TP,11/18/2025,Remove prm_461_ReadOffsets in CAL2 BER_OPTI & FNC2 BER_SPFS,TTR,3,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1878,Done,SSDC TP/DC HW,11/18/2025,TTR: Remove T315,TTR,1,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1501,Done,SSDC,11/18/2025,TTR- OD_PAD_MQM removal,TTR,1,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1853,Done,SSDC TP/ ARS,11/18/2025,Opti Settling bypass BIE into Summit branch for TTR,TTR,1.7,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1845,Done,SSDC TP/,11/18/2025,Improve VBAR findMargin function speed,TTR,1,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1898,Done,Korat FW,11/18/2025,TTR remove SAVE_STATE at SCOPY and PRE2,TTR,0.15,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1715,Done,Korat FW ,11/18/2025,ProZ : P90/Test time reduction improvement (FNC2),TTR,1,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1861,Done,Korat FW,11/18/2025,TTR: PCBA_SCRN_T102 Optimization,TTR,2,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1765,Done,SoonWah/Ying Jin,11/18/2025,TTR: T193 test time reduction,TTR,0.13,,,same,,,,,,,,,
excel_import,SUMMIT,"SUMMIT-1031, SUMMIT-1880",Done,Korat FW,11/18/2025,TTR : T150 measure only servo primary reader,TTR,0.6,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1824,Done,SSDC TP/ ARS,11/18/2025,TTR: T335 reduce number of test tracks on STM scan and GC scan,TTR,0.7,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1929,Done,Zay Yar,11/18/2025,TTR : Remove PES_SCRN_RD_MODE T33 on read offset in FNC2,TTR,0.2,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1916,Done,Yihua/JiYun,11/18/2025,TTR opportunity of using DTS command,TTR,0.8,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1854,Done,SSDC TP/ ARS,11/18/2025,TTR: T451 increase step size from 2 to 4 for LC_DELAY_SDW (register ID 2164) for test time saving for all T451,TTR,1,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1881,Done,Korat FW,11/18/2025,TTR: MSMR dual reader test by condition (from single reader),TTR,0.7,,,same,,,,,,,,,
excel_import,SUMMIT,SUMMIT-1033,Done,Sitthichai/Rick M.,11/18/2025,ATI write optimization in WP (Implement Version),TTR,2.3,,,same,,,,,,,,,
