Business_Key,Source,Program,Task_ID,Status,User_Name,Date_Time,Task_Name,Improvement_Type,Change_Type,Import_Batch_ID,Import_TS,Reviewed_Flag
jira_issues|dorado|dorado-1030,jira_issues,DORADO,DORADO-1030,Open,,2025-08-01T09:30:03+08:00,4 loops of MQM to iMQM,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2278,jira_issues,SUMMIT,SUMMIT-2278,Closed,,2025-08-01T14:24:00+08:00,TTR: Sampling T240 Zn1 in write screen state.,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1032,jira_issues,DORADO,DORADO-1032,Open,,2025-08-01T19:33:31+08:00,Remove T269 from PRE2 (FINE_LASER_CAL2),TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2279,jira_issues,SUMMIT,SUMMIT-2279,In Progress,,2025-08-04T14:34:16+08:00,TTR: Test 33 Seek Delay Improvement - merge to PCO 3.8 & 3.0,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2280,jira_issues,SUMMIT,SUMMIT-2280,Closed,,2025-08-04T21:59:06+08:00,Add Fast MSMR Combined Reader Calculation mode to either T238 or T438,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1036,jira_issues,DORADO,DORADO-1036,Resolved,,2025-08-05T05:10:59+08:00,"TTR - Items for Dorado implementation, leveraged from Marlin through EWC study",TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1037,jira_issues,DORADO,DORADO-1037,Resolved,,2025-08-05T05:53:27+08:00,"SMR Dorado1 fractional VISA ByZone, By Preamp",TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin bp|mbp-1745,jira_issues,MARLIN BP,MBP-1745,Resolved,,2025-08-05T11:53:02+08:00,Increase Skinc step from 4 to 8 in PRE2 TA SCAN TA_SCAN_INCR_CLR and TA_SCAN_ACTIVE states.,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin bp|mbp-1746,jira_issues,MARLIN BP,MBP-1746,Open,,2025-08-05T22:42:24+08:00,TTR: CMR Skip Track Format Certify,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2281,jira_issues,SUMMIT,SUMMIT-2281,Closed,,2025-08-06T00:35:29+08:00,TTR: Data Collection Tests Sampling Or Removal,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin|marlinct-2111,jira_issues,MARLIN,MARLINCT-2111,Open,,2025-08-06T00:36:49+08:00,Data Collection Tests Sampling Or Removal,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin bp|mbp-1748,jira_issues,MARLIN BP,MBP-1748,Open,,2025-08-06T00:39:49+08:00,Data Collection Tests Sampling Or Removal,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1039,jira_issues,DORADO,DORADO-1039,Open,,2025-08-06T00:41:48+08:00,Data Collection Tests Sampling Or Removal,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2283,jira_issues,SUMMIT,SUMMIT-2283,Closed,,2025-08-07T09:57:36+08:00,TTR: Simplify T282 VCM/uPZT/mPZT Structure Measurement at ID at PRE2 and/or CAL,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2288,jira_issues,SUMMIT,SUMMIT-2288,Closed,,2025-08-07T20:38:27+08:00,PCO Item - PCO3.7.3G,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1047,jira_issues,DORADO,DORADO-1047,Open,,2025-08-07T23:14:06+08:00,Reduction of Soak Before Cert for 25nm NFTs on Dorado 2,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin bp|mbp-1758,jira_issues,MARLIN BP,MBP-1758,Resolved,,2025-08-09T00:31:49+08:00,TTR: TOPAZ RroTarget ladder DOE w/ 2-Iter ZAP,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin|marlinct-2117,jira_issues,MARLIN,MARLINCT-2117,Open,,2025-08-11T10:35:56+08:00,TTR: Reduce ZAP iterations from 2 to 1 on HSMR,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin bp|mbp-1759,jira_issues,MARLIN BP,MBP-1759,Open,,2025-08-11T10:45:48+08:00,TTR: Reduce ZAP iterations from 3 to 2 on SMR(VC),TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin bp|mbp-1760,jira_issues,MARLIN BP,MBP-1760,Resolved,,2025-08-11T10:52:34+08:00,TTR: Reduce ZAP iterations from 3 to 2 on CMR 30TB (LV),TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1050,jira_issues,DORADO,DORADO-1050,Open,,2025-08-11T11:02:49+08:00,TTR: Reduce ZAP iterations from 3 to 2 on SMR(VC),TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1051,jira_issues,DORADO,DORADO-1051,In Progress,,2025-08-11T11:14:58+08:00,TTR: Reduce ZAP iterations from 3 to 2 on HSMR(VC),TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2294,jira_issues,SUMMIT,SUMMIT-2294,Closed,,2025-08-11T11:27:08+08:00,TTR: Reduce ZAP iterations from 2 to 1 on SMR(VC),TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1053,jira_issues,DORADO,DORADO-1053,Resolved,,2025-08-12T00:41:59+08:00,"HSMR: PRE2: VBAR_INIT: delete final T451 and T461 calls, Change t451 in READER_PRM_OPTI",TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1054,jira_issues,DORADO,DORADO-1054,Open,,2025-08-12T05:07:37+08:00,PRE2: READER_PRM_OPTI T451: Update Cwrd3 for derived opti,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2295,jira_issues,SUMMIT,SUMMIT-2295,Closed,,2025-08-12T13:36:46+08:00,TTR: T282 Rework how UACT/MACT measurement are done,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin|marlinct-2121,jira_issues,MARLIN,MARLINCT-2121,Resolved,,2025-08-14T09:20:10+08:00,Release PCO 7.2.10,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2300,jira_issues,SUMMIT,SUMMIT-2300,Closed,,2025-08-14T15:27:54+08:00,TTR: Remove 1>N28 from DNLD_CODE_TCG_SPT,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2301,jira_issues,SUMMIT,SUMMIT-2301,Closed,,2025-08-14T18:43:06+08:00,PCO Item - PCO3.7.3A_EFL2B1,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin|marlinct-2122,jira_issues,MARLIN,MARLINCT-2122,Open,,2025-08-15T00:53:10+08:00,Marlin TTR remove state ,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin|marlinct-2123,jira_issues,MARLIN,MARLINCT-2123,Open,,2025-08-15T00:55:01+08:00,Marlin TTR T135 Reduce Zone,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin bp|mbp-1769,jira_issues,MARLIN BP,MBP-1769,Open,,2025-08-15T01:36:47+08:00,DELL RDT FAILURE K1S0AHFN EC704 HANG,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2302,jira_issues,SUMMIT,SUMMIT-2302,Closed,,2025-08-15T12:30:56+08:00,TTR: PCBA_SCRN extreme optimization.,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2303,jira_issues,SUMMIT,SUMMIT-2303,Closed,,2025-08-15T17:25:55+08:00,PCO Item - PCO3.7.3A_EFL2B2,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1072,jira_issues,DORADO,DORADO-1072,Resolved,,2025-08-16T01:57:27+08:00,PWT: Remove T411 calls from PWT state VC_TO_FC_BPI_ADJUST,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2305,jira_issues,SUMMIT,SUMMIT-2305,Closed,,2025-08-18T14:24:24+08:00,Investigate Hd0 Abnormal BPIC for certain drive condition when enable SUMMIT-2092 causing EC10402 Failure,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2307,jira_issues,SUMMIT,SUMMIT-2307,Closed,,2025-08-19T10:02:28+08:00,TTR: Update default PSTE Range from 4 to 5 to support TTR SUMMIT-2091,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin|marlinct-2130,jira_issues,MARLIN,MARLINCT-2130,Open,,2025-08-19T12:48:04+08:00,TTR: CERT portion Powercycle,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin|marlinct-2131,jira_issues,MARLIN,MARLINCT-2131,Resolved,,2025-08-19T19:23:44+08:00,Add PCBA_SCRN while soaking test,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin bp|mbp-1774,jira_issues,MARLIN BP,MBP-1774,Resolved,,2025-08-19T19:25:08+08:00,Add DRAM screen while soaking test,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1080,jira_issues,DORADO,DORADO-1080,Resolved,,2025-08-19T19:26:03+08:00,Add DRAM screen while soaking test,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin|marlinct-2132,jira_issues,MARLIN,MARLINCT-2132,Resolved,,2025-08-19T22:15:26+08:00,Release PCO 7.2.09F,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin|marlinct-2133,jira_issues,MARLIN,MARLINCT-2133,Open,,2025-08-21T04:59:36+08:00,[HOT FIN2] IOPs and BER spec optimization,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1092,jira_issues,DORADO,DORADO-1092,Resolved,,2025-08-22T01:13:19+08:00,"Remove UACT1 ""milli"" actuator Bode",TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2314,jira_issues,SUMMIT,SUMMIT-2314,Closed,,2025-08-22T16:28:32+08:00,TTR: Integrated Milli/Micro Structure Bode Measurement with One-Shot SS1X Bode Measurement,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1094,jira_issues,DORADO,DORADO-1094,Resolved,,2025-08-22T21:23:15+08:00,Monitor and avoid skipped tracks,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin|marlinct-2143,jira_issues,MARLIN,MARLINCT-2143,Resolved,,2025-08-26T08:00:57+08:00,Remove t461 BER measurements around ZAP,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin|marlinct-2144,jira_issues,MARLIN,MARLINCT-2144,Resolved,,2025-08-26T08:28:41+08:00,Reduce Mini ZAP state track list,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2315,jira_issues,SUMMIT,SUMMIT-2315,Closed,Gronggaew (GG) Boonjuang,2025-08-26T15:57:49+08:00,PCO Item - PCO3.7.3A_EFL2C,TTR,NEW,20251116-140537,2025-11-16T14:05:37,
jira_issues|summit|summit-2317,jira_issues,SUMMIT,SUMMIT-2317,Closed,Unassigned,2025-08-26T21:14:13+08:00,TTR: VBAR_ZN_IVBAR Further,TTR,NEW,20251116-140537,2025-11-16T14:05:37,
jira_issues|dorado|dorado-1104,jira_issues,DORADO,DORADO-1104,Open,,2025-08-27T00:33:33+08:00,Adding T55 Reader Bi-mode (temperature dependent) screen specs in MODE_HOP_CAL,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2319,jira_issues,SUMMIT,SUMMIT-2319,Closed,Unassigned,2025-08-27T10:19:22+08:00,TTR : VBAR_ATI_IVBAR Further reduction,TTR,NEW,20251116-140537,2025-11-16T14:05:37,
jira_issues|marlin bp|mbp-1790,jira_issues,MARLIN BP,MBP-1790,Open,,2025-08-28T02:59:46+08:00,Servo release Bx36,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin bp|mbp-1792,jira_issues,MARLIN BP,MBP-1792,Open,,2025-08-29T00:21:55+08:00,MarlinBP TTR remove state,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin bp|mbp-1793,jira_issues,MARLIN BP,MBP-1793,Resolved,,2025-08-29T00:24:33+08:00,MarlinBP TTR T135 Reduce Zone,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin|marlinct-2157,jira_issues,MARLIN,MARLINCT-2157,Open,,2025-08-29T09:35:25+08:00,T220 : Stop ATI write when current wp set ATI BER less than baseline,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1116,jira_issues,DORADO,DORADO-1116,Resolved,,2025-08-29T17:38:14+08:00,TTR - PC File Compression,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2321,jira_issues,SUMMIT,SUMMIT-2321,Closed,Unassigned,2025-08-29T21:59:56+08:00,TTR: T411 iVBAR for Summit,TTR,NEW,20251116-140537,2025-11-16T14:05:37,
jira_issues|marlin|marlinct-2159,jira_issues,MARLIN,MARLINCT-2159,Resolved,,2025-08-30T03:11:06+08:00,Sample PSV_SCOPY_QUALITY state in PRE2,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin|marlinct-2160,jira_issues,MARLIN,MARLINCT-2160,Resolved,,2025-08-30T03:16:03+08:00,t109 LUL Scan 50% reduction,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2322,jira_issues,SUMMIT,SUMMIT-2322,Closed,Unassigned,2025-09-01T11:44:20+08:00,TTR: T150 PWT by Exception ,TTR,NEW,20251116-140537,2025-11-16T14:05:37,
jira_issues|summit|summit-2324,jira_issues,SUMMIT,SUMMIT-2324,Closed,Unassigned,2025-09-02T13:16:45+08:00,"TTR: Release Block Point ""E"" Servo Code CEC3 for Summit SMR 30TB VC",TTR,NEW,20251116-140537,2025-11-16T14:05:37,
jira_issues|dorado|dorado-1122,jira_issues,DORADO,DORADO-1122,Resolved,,2025-09-03T00:20:19+08:00,SMR: PWT: remove state T298_ENCROACHMENT,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin bp|mbp-1803,jira_issues,MARLIN BP,MBP-1803,Resolved,,2025-09-03T23:59:31+08:00,Release PCO 4_2_12,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin|marlinct-2165,jira_issues,MARLIN,MARLINCT-2165,Resolved,,2025-09-04T01:30:59+08:00,Release PCO 7.2.09F2,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1132,jira_issues,DORADO,DORADO-1132,Open,,2025-09-04T02:45:54+08:00,Add PCBA_SCRN while soaking test,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2326,jira_issues,SUMMIT,SUMMIT-2326,Closed,Unassigned,2025-09-04T10:15:56+08:00,TTR: items from PCO 3.7.3x to PCO 3.8.1 branch,TTR,NEW,20251116-140537,2025-11-16T14:05:37,
jira_issues|summit|summit-2327,jira_issues,SUMMIT,SUMMIT-2327,Closed,Unassigned,2025-09-04T11:14:30+08:00,TTR: New Servo Code xx66,TTR,NEW,20251116-140537,2025-11-16T14:05:37,
jira_issues|summit|summit-2328,jira_issues,SUMMIT,SUMMIT-2328,Closed,Unassigned,2025-09-04T18:12:21+08:00,PCO Item - PCO3.7.3GB,TTR,NEW,20251116-140537,2025-11-16T14:05:37,
jira_issues|summit|summit-2329,jira_issues,SUMMIT,SUMMIT-2329,Closed,Unassigned,2025-09-04T18:27:10+08:00,PCO Item - PCO3.7.3GC,TTR,NEW,20251116-140537,2025-11-16T14:05:37,
jira_issues|summit|summit-2330,jira_issues,SUMMIT,SUMMIT-2330,Closed,Unassigned,2025-09-04T18:32:13+08:00,PCO Item - PCO3.7.3GD,TTR,NEW,20251116-140537,2025-11-16T14:05:37,
jira_issues|dorado|dorado-1136,jira_issues,DORADO,DORADO-1136,Open,,2025-09-04T19:54:33+08:00,"NDS laser burn in time test Time Reduction, utilizing bank write feature",TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2331,jira_issues,SUMMIT,SUMMIT-2331,Closed,Unassigned,2025-09-05T08:33:10+08:00,TTR: T461 Test Zone Aligment,TTR,NEW,20251116-140537,2025-11-16T14:05:37,
jira_issues|marlin|marlinct-2168,jira_issues,MARLIN,MARLINCT-2168,Resolved,,2025-09-06T05:35:14+08:00,HAMR: Temperature Ramp Test - ASTB/VBAR Removal ,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin bp|mbp-1815,jira_issues,MARLIN BP,MBP-1815,SME Verification,,2025-09-08T22:13:20+08:00,MBP: FPW & SPFS Power Cycle Removal around LFA,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1150,jira_issues,DORADO,DORADO-1150,In Progress,,2025-09-09T00:06:46+08:00,Laser Screening During Soak to Replace NDS for Dorado,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2333,jira_issues,SUMMIT,SUMMIT-2333,SME Verification,Unassigned,2025-09-09T19:17:29+08:00,PCO Item - PCO3.7.3A_EFL2B4,TTR,NEW,20251116-140537,2025-11-16T14:05:37,
jira_issues|summit|summit-2334,jira_issues,SUMMIT,SUMMIT-2334,Closed,Unassigned,2025-09-09T22:34:12+08:00,PCO Item - PCO3.7.3A_EFL2C2,TTR,NEW,20251116-140537,2025-11-16T14:05:37,
jira_issues|marlin|marlinct-2171,jira_issues,MARLIN,MARLINCT-2171,Resolved,,2025-09-10T23:10:37+08:00,Increase serial format feedback spacing,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1156,jira_issues,DORADO,DORADO-1156,Resolved,,2025-09-11T03:27:13+08:00,Smooth Linear Bode with fast Convergence Check,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1157,jira_issues,DORADO,DORADO-1157,Resolved,,2025-09-11T03:44:37+08:00,Reducing the SkDly in t135 from 20ms to 0ms on AFH and AFH1_LOCD state,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin|marlinct-2172,jira_issues,MARLIN,MARLINCT-2172,Resolved,,2025-09-11T03:49:12+08:00,TTR: ZAP Seek Path Optimization ( PROZ/OCZ ) ,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1158,jira_issues,DORADO,DORADO-1158,Resolved,,2025-09-11T03:51:08+08:00,TTR: ZAP Seek Path Optimization ( PROZ/OCZ ),TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1159,jira_issues,DORADO,DORADO-1159,Resolved,,2025-09-11T03:58:13+08:00,T282 Idle time reduction,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2337,jira_issues,SUMMIT,SUMMIT-2337,SME Verification,Unassigned,2025-09-12T04:42:02+08:00,TTR: YIP7 for Summit RSEED,TTR,NEW,20251116-140537,2025-11-16T14:05:37,
jira_issues|dorado|dorado-1171,jira_issues,DORADO,DORADO-1171,Open,,2025-09-16T23:26:29+08:00,LZR: Set Write power values to zone dependent population average at the beginning of VBAR_LASER,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1172,jira_issues,DORADO,DORADO-1172,Resolved,,2025-09-16T23:30:10+08:00,Pulling in 'Update T443 DPCO Clearance from 12A to 6A' from MBP-1666,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin|marlinct-2181,jira_issues,MARLIN,MARLINCT-2181,Resolved,,2025-09-17T02:19:02+08:00,TTR : T461 reduce NumRd/NumWr from 2 to 1,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1175,jira_issues,DORADO,DORADO-1175,Resolved,,2025-09-17T02:22:11+08:00,TTR : T461 reduce NumRd/NumWr from 2 to 1,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1177,jira_issues,DORADO,DORADO-1177,Resolved,,2025-09-17T02:52:19+08:00,TTR: ZAP Seek Path Optimization ( PROZ/OCZ ) - Dorado Eval,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1179,jira_issues,DORADO,DORADO-1179,Resolved,,2025-09-17T23:14:50+08:00,TTR Radical Malloc Dorado Eval,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin|marlinct-2182,jira_issues,MARLIN,MARLINCT-2182,Resolved,,2025-09-18T03:29:41+08:00,Add DPCO for data collection in CRT2,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1182,jira_issues,DORADO,DORADO-1182,SME Verification,,2025-09-18T04:26:26+08:00,Adding screen specs for HSMR/HCMR/SMR TPI in CAL2,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin|marlinct-2183,jira_issues,MARLIN,MARLINCT-2183,Resolved,,2025-09-18T22:08:52+08:00,Release PCO 7.2.09H,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin|marlinct-2184,jira_issues,MARLIN,MARLINCT-2184,Resolved,,2025-09-18T22:11:32+08:00,Release PCO 7.2.10B,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1195,jira_issues,DORADO,DORADO-1195,In Progress,,2025-09-20T20:57:00+08:00,Dorado2: Move IBW calibration from CAL2 to (top-of-tempramp),TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2345,jira_issues,SUMMIT,SUMMIT-2345,Reopened,Unassigned,2025-09-22T09:16:53+08:00,"TTR: PWT optimization: DNLD_CODE, enableDiags, Powercycle",TTR,NEW,20251116-140537,2025-11-16T14:05:37,
jira_issues|dorado|dorado-1198,jira_issues,DORADO,DORADO-1198,Resolved,,2025-09-23T10:06:21+08:00,Remove PWT SF3 portion for Weld Before Cert,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1203,jira_issues,DORADO,DORADO-1203,Open,,2025-09-24T00:00:21+08:00,Adding Hd screen specs for T461 SMR BER in PWT_BER_SMR_C/PWT_BER_SMR for HSMR/SMR drives,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin bp|mbp-1843,jira_issues,MARLIN BP,MBP-1843,Resolved,,2025-09-24T03:37:27+08:00,Enable PROZ,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
